Variable:,tasmin
,Malawi,"Central Region","Northern Region","Southern Region","Area under National Administration"
1901,16.23,15.63,14.84,17.32,17.33
1902,16.60,16.02,15.16,17.74,17.67
1903,16.66,16.11,15.10,17.91,17.64
1904,16.00,15.35,14.74,16.97,17.19
1905,16.59,16.01,15.11,17.78,17.63
1906,16.13,15.50,14.77,17.18,17.26
1907,15.99,15.36,14.66,17.02,17.16
1908,16.45,15.86,14.98,17.61,17.51
1909,16.30,15.72,14.87,17.43,17.38
1910,16.03,15.40,14.68,17.08,17.16
1911,16.02,15.39,14.72,17.02,17.21
1912,16.51,15.96,14.99,17.72,17.52
1913,16.62,16.09,15.07,17.82,17.63
1914,17.11,16.65,15.44,18.38,18.03
1915,17.03,16.49,15.35,18.40,17.96
1916,16.90,16.41,15.28,18.16,17.88
1917,16.74,16.24,15.19,17.90,17.75
1918,16.08,15.41,14.80,17.09,17.30
1919,16.22,15.61,14.89,17.22,17.40
1920,16.91,16.35,15.32,18.20,17.90
1921,16.58,15.97,15.14,17.74,17.67
1922,17.10,16.65,15.46,18.35,18.05
1923,16.67,16.10,15.15,17.86,17.71
1924,16.49,15.87,14.95,17.79,17.53
1925,16.00,15.32,14.66,17.09,17.18
1926,16.43,15.81,14.96,17.62,17.52
1927,16.14,15.52,14.68,17.32,17.23
1928,16.57,16.03,15.02,17.76,17.61
1929,16.46,15.91,14.90,17.71,17.48
1930,16.18,15.58,14.85,17.17,17.35
1931,16.76,16.22,15.22,17.97,17.80
1932,16.52,15.97,15.08,17.61,17.61
1933,16.30,15.72,14.93,17.32,17.43
1934,16.81,16.32,15.29,17.96,17.84
1935,16.18,15.61,14.89,17.08,17.36
1936,16.51,15.93,15.14,17.55,17.64
1937,16.34,15.76,14.93,17.39,17.47
1938,16.53,15.98,15.09,17.61,17.60
1939,16.54,16.01,15.21,17.46,17.69
1940,16.82,16.30,15.43,17.81,17.93
1941,16.95,16.41,15.56,17.95,18.06
1942,16.93,16.40,15.44,18.05,17.98
1943,16.31,15.78,14.90,17.36,17.41
1944,16.75,16.25,15.32,17.78,17.85
1945,16.13,15.57,14.86,17.02,17.32
1946,16.46,15.90,15.04,17.54,17.55
1947,16.53,15.97,15.03,17.72,17.58
1948,16.84,16.27,15.43,17.91,17.95
1949,16.91,16.30,15.57,17.95,18.06
1950,16.41,15.82,15.00,17.51,17.54
1951,16.31,15.65,14.92,17.41,17.48
1952,16.57,15.92,15.14,17.71,17.69
1953,16.38,15.74,15.01,17.46,17.56
1954,16.36,15.73,14.88,17.53,17.49
1955,16.35,15.75,14.92,17.45,17.49
1956,16.18,15.59,14.65,17.37,17.29
1957,16.64,16.03,15.15,17.81,17.77
1958,16.71,16.07,15.24,17.89,17.86
1959,16.64,15.99,15.23,17.75,17.83
1960,16.59,15.97,15.14,17.74,17.71
1961,17.00,16.37,15.60,18.12,18.14
1962,16.48,15.87,14.99,17.68,17.56
1963,16.00,15.40,14.57,17.13,17.11
1964,15.99,15.40,14.50,17.17,17.06
1965,15.78,15.14,14.39,16.88,16.93
1966,16.59,15.98,15.18,17.69,17.73
1967,16.71,16.08,15.26,17.84,17.84
1968,16.20,15.62,14.76,17.29,17.31
1969,16.79,16.21,15.29,17.96,17.86
1970,16.67,16.08,15.18,17.85,17.75
1971,16.20,15.61,14.72,17.35,17.28
1972,16.46,15.86,15.09,17.51,17.60
1973,16.42,15.80,14.89,17.69,17.46
1974,15.90,15.28,14.50,17.03,17.00
1975,16.12,15.49,14.75,17.19,17.25
1976,16.26,15.66,14.85,17.38,17.37
1977,16.72,16.11,15.30,17.84,17.83
1978,16.41,15.79,15.04,17.47,17.55
1979,16.47,15.87,15.11,17.50,17.63
1980,16.36,15.75,15.03,17.38,17.54
1981,15.98,15.39,14.66,16.95,17.14
1982,16.51,15.91,15.26,17.41,17.70
1983,17.17,16.61,15.81,18.20,18.25
1984,16.66,16.09,15.21,17.81,17.70
1985,16.40,15.84,15.00,17.48,17.47
1986,16.40,15.79,15.00,17.54,17.48
1987,16.82,16.20,15.51,17.80,17.99
1988,16.75,16.12,15.37,17.83,17.89
1989,16.47,15.85,15.14,17.52,17.60
1990,16.72,16.13,15.39,17.74,17.86
1991,16.56,15.96,15.13,17.72,17.62
