Variable:,tasmax
,Bermuda,"Administrative unit not available"
1901,25.98,25.98
1902,26.02,26.02
1903,26.03,26.03
1904,25.97,25.97
1905,26.03,26.03
1906,26.10,26.10
1907,26.05,26.05
1908,26.11,26.11
1909,26.09,26.09
1910,26.08,26.08
1911,26.10,26.10
1912,26.09,26.09
1913,26.13,26.13
1914,26.04,26.04
1915,26.07,26.07
1916,26.08,26.08
1917,26.01,26.01
1918,26.04,26.04
1919,26.09,26.09
1920,26.02,26.02
1921,26.13,26.13
1922,26.11,26.11
1923,26.08,26.08
1924,26.04,26.04
1925,26.13,26.13
1926,26.08,26.08
1927,26.09,26.09
1928,26.09,26.09
1929,26.13,26.13
1930,26.11,26.11
1931,25.64,25.64
1932,25.72,25.72
1933,26.01,26.01
1934,25.88,25.88
1935,25.45,25.45
1936,25.89,25.89
1937,26.08,26.08
1938,26.16,26.16
1939,25.84,25.84
1940,24.83,24.83
1941,25.38,25.38
1942,25.59,25.59
1943,25.49,25.49
1944,25.14,25.14
1945,25.47,25.47
1946,25.59,25.59
1947,25.63,25.63
1948,25.52,25.52
1949,25.79,25.79
1950,25.73,25.73
1951,25.85,25.85
1952,25.94,25.94
1953,26.10,26.10
1954,26.15,26.15
1955,25.47,25.47
1956,25.84,25.84
1957,25.21,25.21
1958,24.89,24.89
1959,25.44,25.44
1960,25.28,25.28
1961,25.29,25.29
1962,25.24,25.24
1963,24.78,24.78
1964,24.69,24.69
1965,24.59,24.59
1966,24.76,24.76
1967,24.73,24.73
1968,25.02,25.02
1969,25.15,25.15
1970,24.88,24.88
1971,25.53,25.53
1972,25.90,25.90
1973,25.87,25.87
1974,26.63,26.63
1975,26.68,26.68
1976,26.67,26.67
1977,26.00,26.00
1978,26.06,26.06
1979,26.19,26.19
1980,26.16,26.16
1981,25.57,25.57
1982,27.46,27.46
1983,27.31,27.31
1984,26.93,26.93
1985,26.88,26.88
1986,26.89,26.89
1987,26.44,26.44
1988,27.81,27.81
1989,28.05,28.05
1990,27.88,27.88
1991,27.50,27.50
1992,27.43,27.43
1993,27.65,27.65
1994,27.70,27.70
1995,26.35,26.35
1996,25.78,25.78
1997,26.07,26.07
1998,26.48,26.48
1999,26.87,26.87
2000,26.53,26.53
2001,26.43,26.43
2002,26.61,26.61
2003,26.52,26.52
2004,26.53,26.53
2005,26.00,26.00
2006,26.09,26.09
2007,26.08,26.08
2008,26.01,26.01
2009,26.01,26.01
2010,25.44,25.44
2011,26.03,26.03
2012,26.20,26.20
2013,25.77,25.77
2014,26.63,26.63
2015,26.53,26.53
2016,26.63,26.63
2017,26.61,26.61
2018,26.54,26.54
2019,26.67,26.67
2020,26.40,26.40
