Variable:,tasmin
,Monaco,"Administrative unit not available"
1901,8.23,8.23
1902,8.55,8.55
1903,8.55,8.55
1904,9.21,9.21
1905,8.43,8.43
1906,8.63,8.63
1907,8.60,8.60
1908,8.37,8.37
1909,7.97,7.97
1910,8.62,8.62
1911,9.28,9.28
1912,8.57,8.57
1913,8.96,8.96
1914,8.62,8.62
1915,8.59,8.59
1916,8.93,8.93
1917,8.19,8.19
1918,8.84,8.84
1919,8.48,8.48
1920,9.53,9.53
1921,9.38,9.38
1922,8.37,8.37
1923,9.23,9.23
1924,8.66,8.66
1925,8.56,8.56
1926,9.25,9.25
1927,9.13,9.13
1928,9.49,9.49
1929,8.67,8.67
1930,9.47,9.47
1931,8.39,8.39
1932,8.63,8.63
1933,8.48,8.48
1934,9.13,9.13
1935,8.84,8.84
1936,9.15,9.15
1937,9.38,9.38
1938,8.83,8.83
1939,8.93,8.93
1940,8.12,8.12
1941,8.18,8.18
1942,8.88,8.88
1943,10.02,10.02
1944,9.09,9.09
1945,9.60,9.60
1946,9.29,9.29
1947,9.60,9.60
1948,9.33,9.33
1949,9.53,9.53
1950,9.45,9.45
1951,9.54,9.54
1952,9.35,9.35
1953,9.48,9.48
1954,8.82,8.82
1955,9.43,9.43
1956,8.59,8.59
1957,9.03,9.03
1958,9.47,9.47
1959,9.82,9.82
1960,9.41,9.41
1961,10.03,10.03
1962,8.96,8.96
1963,9.00,9.00
1964,9.82,9.82
1965,8.88,8.88
1966,9.64,9.64
1967,9.53,9.53
1968,9.25,9.25
1969,8.98,8.98
1970,9.26,9.26
1971,9.21,9.21
1972,9.28,9.28
1973,9.11,9.11
1974,9.32,9.32
1975,9.29,9.29
1976,9.30,9.30
1977,9.49,9.49
1978,8.87,8.87
1979,9.51,9.51
1980,9.02,9.02
1981,9.22,9.22
1982,9.98,9.98
1983,9.64,9.64
1984,9.03,9.03
1985,9.45,9.45
1986,9.85,9.85
1987,9.71,9.71
1988,10.14,10.14
1989,10.01,10.01
1990,10.06,10.06
1991,9.53,9.53
1992,10.09,10.09
1993,9.78,9.78
1994,10.88,10.88
1995,10.11,10.11
1996,9.97,9.97
1997,10.66,10.66
1998,9.98,9.98
1999,10.46,10.46
2000,10.75,10.75
2001,10.40,10.40
2002,10.73,10.73
2003,10.68,10.68
2004,10.43,10.43
2005,9.86,9.86
2006,10.69,10.69
2007,10.56,10.56
2008,10.48,10.48
2009,10.76,10.76
2010,9.98,9.98
2011,10.84,10.84
2012,10.51,10.51
2013,10.23,10.23
2014,11.41,11.41
2015,11.01,11.01
2016,10.84,10.84
2017,10.63,10.63
2018,11.46,11.46
2019,10.95,10.95
2020,10.94,10.94
