Variable:,tasmin
,Bulgaria,Blagoevgrad,Burgas,Dobrich,Gabrovo,Haskovo,Jambol,Kardzhali,Kustendil,Lovech,Montana,Pazardzhik,Pernik,Pleven,Plovdiv,Razgrad,Ruse,Shumen,Silistra,Sliven,Smoljan,Sofia,Sofia-city,"Stara Zagora",Targovishte,Varna,"Veliko Tarnovo",Vidin,Vratca
1901,5.31,3.53,7.70,7.13,3.71,6.65,7.04,5.85,3.25,4.44,5.50,3.64,3.64,5.86,4.54,5.73,5.85,6.19,5.93,5.13,3.18,3.37,3.90,5.17,5.66,7.26,5.37,5.83,5.78
1902,4.70,3.14,6.95,6.13,3.13,6.14,6.35,5.36,2.85,3.87,4.99,3.19,3.21,5.21,4.07,4.81,4.94,5.30,5.01,4.45,2.74,2.92,3.46,4.63,4.77,6.36,4.61,5.37,5.24
1903,5.52,3.80,7.73,7.12,3.90,6.83,7.11,6.06,3.57,4.74,5.84,3.89,3.96,6.18,4.77,5.86,6.00,6.32,6.03,5.21,3.40,3.65,4.17,5.34,5.81,7.34,5.58,6.31,6.08
1904,5.13,3.53,7.28,6.56,3.55,6.45,6.69,5.69,3.32,4.37,5.53,3.58,3.70,5.76,4.44,5.40,5.53,5.86,5.57,4.80,3.09,3.35,3.91,4.98,5.33,6.83,5.14,6.02,5.72
1905,5.33,3.55,7.62,7.06,3.73,6.61,6.97,5.82,3.31,4.52,5.58,3.66,3.68,5.96,4.56,5.74,5.87,6.19,5.93,5.08,3.19,3.41,3.94,5.16,5.66,7.22,5.40,6.01,5.85
1906,5.50,3.65,7.81,7.33,3.88,6.75,7.14,5.92,3.41,4.69,5.76,3.77,3.81,6.17,4.69,6.03,6.16,6.48,6.21,5.26,3.28,3.53,4.06,5.30,5.96,7.48,5.65,6.18,6.02
1907,4.80,3.14,7.00,6.29,3.22,6.11,6.39,5.32,2.93,4.01,5.17,3.20,3.31,5.44,4.08,5.12,5.26,5.58,5.31,4.50,2.72,2.96,3.52,4.65,5.05,6.54,4.82,5.64,5.37
1908,4.74,2.99,7.07,6.44,3.10,6.03,6.42,5.20,2.72,3.90,5.00,3.06,3.10,5.34,3.96,5.18,5.30,5.63,5.38,4.53,2.60,2.80,3.34,4.55,5.07,6.66,4.78,5.43,5.22
1909,5.27,3.54,7.60,7.00,3.65,6.57,6.95,5.77,3.29,4.42,5.51,3.61,3.67,5.85,4.52,5.68,5.80,6.12,5.87,5.05,3.15,3.36,3.91,5.11,5.57,7.17,5.31,5.91,5.77
1910,5.94,4.03,8.19,7.89,4.32,7.08,7.47,6.27,3.82,5.20,6.26,4.16,4.23,6.74,5.07,6.55,6.66,6.98,6.79,5.62,3.64,3.95,4.47,5.66,6.42,8.04,6.11,6.76,6.53
1911,5.22,3.57,7.36,6.59,3.59,6.42,6.73,5.63,3.39,4.46,5.73,3.60,3.79,5.94,4.43,5.58,5.73,5.99,5.74,4.87,3.06,3.42,3.98,4.98,5.49,6.97,5.27,6.34,5.88
1912,4.71,3.05,7.01,6.36,3.10,6.02,6.38,5.22,2.77,3.88,4.96,3.13,3.15,5.26,4.01,5.01,5.13,5.49,5.22,4.48,2.63,2.85,3.39,4.56,4.92,6.59,4.68,5.39,5.20
1913,4.91,3.13,7.17,6.69,3.30,6.20,6.54,5.41,2.85,4.11,5.23,3.25,3.25,5.57,4.14,5.31,5.45,5.75,5.51,4.66,2.76,2.98,3.50,4.74,5.22,6.85,4.96,5.80,5.45
1914,4.77,3.00,7.08,6.65,3.16,6.06,6.44,5.27,2.72,3.91,4.98,3.07,3.10,5.37,3.98,5.25,5.36,5.71,5.47,4.56,2.59,2.79,3.29,4.62,5.17,6.80,4.85,5.38,5.24
