Variable:,tasmax
,Lebanon,Bekaa,Beirut,North,South,"Mount Lebanon",Nabatiye
1901,21.23,19.76,22.37,21.41,23.35,22.14,23.13
1902,20.42,18.95,21.54,20.64,22.50,21.32,22.27
1903,19.25,17.76,20.39,19.43,21.40,20.16,21.17
1904,19.85,18.36,21.03,19.98,22.05,20.78,21.83
1905,20.06,18.56,21.25,20.18,22.28,20.99,22.06
1906,20.27,18.77,21.45,20.38,22.51,21.19,22.29
1907,19.67,18.18,20.84,19.79,21.87,20.59,21.65
1908,19.81,18.32,20.96,19.96,22.01,20.72,21.80
1909,20.98,19.48,22.16,21.08,23.20,21.90,22.99
1910,20.03,18.56,21.15,20.24,22.13,20.93,21.91
1911,19.76,18.26,20.94,19.88,21.99,20.69,21.77
1912,20.24,18.78,21.36,20.46,22.30,21.15,22.07
1913,20.16,18.66,21.33,20.31,22.35,21.08,22.13
1914,20.53,19.03,21.72,20.62,22.76,21.46,22.55
1915,21.15,19.65,22.35,21.22,23.42,22.08,23.21
1916,21.70,20.20,22.90,21.77,23.95,22.63,23.74
1917,21.12,19.64,22.30,21.23,23.31,22.04,23.09
1918,20.86,19.38,22.04,20.96,23.06,21.78,22.84
1919,21.13,19.64,22.30,21.24,23.34,22.05,23.13
1920,20.47,18.96,21.68,20.51,22.75,21.40,22.55
1921,20.07,18.58,21.26,20.16,22.32,21.00,22.11
1922,21.04,19.56,22.21,21.15,23.24,21.96,23.02
1923,21.29,19.80,22.48,21.38,23.50,22.22,23.28
1924,21.05,19.58,22.23,21.13,23.27,21.97,23.06
1925,21.22,19.73,22.43,21.29,23.47,22.16,23.26
1926,21.22,19.73,22.44,21.31,23.43,22.17,23.21
1927,21.40,19.89,22.61,21.47,23.66,22.34,23.45
1928,21.35,19.84,22.60,21.37,23.68,22.31,23.47
1929,21.03,19.55,22.24,21.05,23.29,21.96,23.08
1930,21.46,19.99,22.61,21.55,23.64,22.35,23.44
1931,21.16,19.66,22.38,21.28,23.36,22.12,23.12
1932,21.41,19.93,22.61,21.54,23.56,22.36,23.32
1933,20.39,18.90,21.57,20.53,22.54,21.34,22.30
