Variable:,tasmax
,Finland,Aaland,"Eastern Finland",Lapland,Oulu,"Southern Finland","Western Finland"
1942,4.26,6.54,4.90,2.22,4.18,5.86,5.71
1943,7.22,9.68,7.97,4.83,7.17,8.99,8.90
1944,6.54,8.94,7.27,4.27,6.42,8.34,8.16
1945,5.34,8.52,5.84,3.20,5.04,7.12,7.11
1946,5.96,8.45,6.50,3.98,5.79,7.56,7.47
1947,5.41,8.14,6.04,3.32,5.21,7.12,6.96
1948,6.62,9.10,7.34,4.41,6.42,8.44,8.23
1949,7.06,10.06,7.85,4.51,6.81,9.19,8.92
1950,6.06,8.80,6.56,4.00,5.89,7.74,7.69
1951,5.78,9.01,6.69,3.10,5.55,8.03,7.66
1952,5.04,7.76,5.84,2.68,4.87,6.99,6.70
1953,6.89,9.74,7.40,4.71,6.63,8.74,8.65
1954,6.15,8.38,6.86,4.00,6.06,7.81,7.66
1955,4.29,8.13,5.15,1.45,3.80,6.83,6.53
1956,4.41,7.12,5.14,2.11,4.10,6.37,6.13
1957,6.07,8.37,6.91,3.78,5.91,7.97,7.60
1958,4.94,7.80,5.58,2.82,4.63,6.85,6.54
1959,6.87,9.89,7.52,4.59,6.45,8.97,8.69
1960,6.09,8.44,6.90,3.88,5.91,7.88,7.61
1961,7.05,9.76,7.99,4.41,6.87,9.12,8.90
1962,5.17,7.95,6.10,2.67,4.95,7.17,6.93
1963,5.92,8.37,6.61,3.70,5.64,7.87,7.56
1964,6.20,8.74,6.94,3.99,5.97,8.07,7.79
1965,5.16,8.03,6.14,2.42,4.91,7.42,7.07
1966,4.03,7.61,4.85,1.31,3.52,6.56,6.13
1967,6.12,8.93,7.03,3.69,5.85,8.24,7.76
1968,4.82,8.59,5.62,2.08,4.35,7.34,6.94
1969,5.07,8.46,5.75,2.61,4.64,7.31,7.02
1970,5.50,7.65,6.25,3.36,5.27,7.33,6.98
1971,5.37,8.93,6.21,2.59,4.91,7.93,7.51
1972,6.98,9.32,7.82,4.75,6.78,8.86,8.48
1973,6.06,9.20,6.92,3.47,5.81,8.24,7.90
1974,7.17,9.60,7.83,5.07,6.95,8.95,8.70
1975,7.37,10.63,8.43,4.39,7.15,9.81,9.43
1976,4.85,8.12,5.26,2.82,4.51,6.68,6.58
1977,5.15,8.15,6.03,2.71,4.90,7.19,6.88
1978,4.53,7.71,5.19,2.22,4.17,6.59,6.34
1979,5.55,8.02,6.46,3.10,5.29,7.62,7.22
1980,5.44,8.28,6.37,2.85,5.16,7.60,7.28
1981,5.11,8.15,6.34,2.18,4.82,7.55,7.02
1982,6.06,8.94,6.87,3.56,5.74,8.27,7.88
1983,6.29,9.30,7.38,3.42,5.92,8.83,8.28
1984,6.48,9.12,7.40,3.99,6.25,8.60,8.18
1985,3.82,6.66,4.64,1.45,3.33,6.10,5.60
1986,5.28,8.02,6.14,2.89,4.87,7.54,6.98
1987,4.00,6.68,4.59,1.94,3.62,5.95,5.58
1988,6.06,8.86,6.95,3.48,5.79,8.37,7.87
1989,7.66,10.31,8.63,5.15,7.42,9.73,9.37
1990,6.98,10.14,7.60,4.71,6.52,9.12,8.80
1991,6.40,9.26,7.18,3.94,5.99,8.67,8.25
1992,6.75,9.73,7.43,4.46,6.36,8.93,8.49
1993,5.87,8.83,6.46,3.63,5.56,7.88,7.62
1994,6.09,9.17,6.75,3.90,5.76,8.13,7.75
1995,6.54,9.20,7.50,3.86,6.29,8.88,8.37
1996,6.00,8.45,6.69,3.80,5.83,7.96,7.54
1997,6.61,9.69,7.24,4.25,6.23,8.83,8.45
1998,5.47,8.61,6.41,2.70,5.07,8.03,7.44
1999,6.59,9.96,7.59,3.81,6.17,9.18,8.56
2000,7.53,10.34,8.38,5.00,7.31,9.70,9.28
2001,6.35,9.58,7.13,3.95,6.00,8.58,8.10
