Variable:,tasmax
,"Korea, Democratic People's Republic of",Chagang-do,Kaesong-si,Kangwon-do,Hamgyong-bukto,Hwanghae-bukto,P'yongan-bukto,P'yongyang-si,Hamgyong-namdo,Hwanghae-namdo,P'yongan-namdo,Yanggang-do
1961,11.69,10.36,15.41,14.12,10.32,14.56,13.47,14.87,10.48,15.70,12.99,6.75
1962,10.92,9.67,14.76,13.42,9.34,13.84,12.76,14.15,9.71,14.97,12.25,5.91
1963,10.67,9.57,14.09,12.80,9.37,13.32,12.54,13.81,9.47,14.52,11.95,5.87
1964,10.56,9.11,14.76,13.41,8.94,13.70,12.22,13.88,9.35,14.81,11.89,5.45
1965,10.52,9.22,14.47,13.10,8.64,13.61,12.55,14.05,9.29,14.80,12.06,5.28
1966,10.27,8.89,14.43,12.97,8.70,13.36,12.02,13.61,8.98,14.61,11.59,5.15
1967,10.87,9.60,14.55,13.18,9.79,13.58,12.50,13.90,9.68,14.75,12.04,6.09
1968,10.86,9.62,14.68,13.27,9.36,13.72,12.70,14.15,9.64,14.91,12.25,5.86
1969,9.55,8.13,13.74,12.37,7.83,12.70,11.27,12.90,8.34,13.84,10.94,4.36
1970,10.50,9.29,14.17,12.75,9.25,13.22,12.26,13.63,9.29,14.43,11.74,5.70
1971,10.48,9.28,14.26,12.89,8.99,13.34,12.37,13.75,9.19,14.57,11.82,5.48
1972,10.59,9.29,14.50,13.15,9.00,13.59,12.46,13.96,9.32,14.75,11.99,5.47
1973,11.02,9.68,15.01,13.60,9.60,14.06,12.69,14.30,9.78,15.19,12.26,6.03
1974,10.07,8.77,14.08,12.64,8.46,13.15,11.94,13.51,8.74,14.37,11.45,4.94
1975,11.47,10.32,15.14,13.72,10.14,14.27,13.35,14.74,10.15,15.50,12.75,6.59
1976,10.24,8.81,14.40,13.00,8.63,13.42,11.97,13.68,8.94,14.54,11.60,5.07
1977,10.98,9.64,15.19,13.73,9.13,14.21,12.80,14.48,9.68,15.40,12.41,5.76
1978,11.43,10.04,15.63,14.20,9.75,14.62,13.18,14.85,10.14,15.76,12.81,6.26
1979,11.31,9.90,15.55,14.07,9.65,14.51,13.00,14.72,10.01,15.65,12.62,6.19
1980,10.11,8.79,14.17,12.66,8.44,13.25,11.90,13.58,8.80,14.44,11.49,5.02
1981,10.45,9.18,14.38,12.87,8.87,13.48,12.31,13.88,9.13,14.76,11.83,5.40
1982,11.83,10.62,15.61,14.12,10.48,14.71,13.60,15.12,10.50,15.95,13.09,6.95
1983,11.21,9.97,15.10,13.64,9.43,14.24,13.21,14.74,9.89,15.55,12.68,6.08
1984,10.39,9.07,14.57,13.00,8.60,13.64,12.27,14.01,9.00,14.91,11.85,5.19
1985,10.39,8.99,14.64,13.16,8.87,13.57,11.97,13.76,9.09,14.67,11.71,5.30
1986,10.18,8.90,14.20,12.68,8.50,13.30,12.06,13.70,8.81,14.59,11.58,5.08
1987,10.79,9.37,15.13,13.67,9.00,14.07,12.44,14.21,9.52,15.19,12.13,5.63
1988,11.19,9.95,15.20,13.68,9.44,14.29,13.03,14.65,9.87,15.55,12.56,6.12
1989,11.91,10.65,15.73,14.25,10.43,14.84,13.77,15.27,10.67,15.99,13.25,6.97
1990,11.38,9.92,15.67,14.20,9.93,14.56,12.89,14.65,10.12,15.73,12.56,6.35
1991,11.06,9.64,15.40,13.85,9.39,14.35,12.71,14.49,9.74,15.55,12.33,5.95
1992,11.21,9.75,15.51,14.02,9.63,14.48,12.91,14.63,9.87,15.64,12.47,6.09
1993,10.76,9.50,14.82,13.29,9.08,13.84,12.57,14.16,9.43,15.11,12.06,5.70
1994,11.98,10.58,16.30,14.85,10.15,15.23,13.67,15.44,10.73,16.43,13.36,6.81
1995,11.29,9.95,15.42,13.91,9.73,14.41,13.07,14.66,9.95,15.59,12.61,6.19
1996,11.01,9.64,15.10,13.69,9.51,14.05,12.63,14.30,9.74,15.26,12.28,6.01
1997,11.82,10.45,15.93,14.51,10.19,14.94,13.57,15.20,10.53,16.13,13.16,6.74
1998,12.28,10.94,16.27,14.96,10.65,15.34,13.95,15.61,11.04,16.50,13.58,7.29
1999,11.84,10.53,15.87,14.51,10.08,14.97,13.59,15.28,10.59,16.16,13.22,6.74
2000,11.34,9.96,15.60,14.19,9.53,14.57,13.12,14.80,10.07,15.69,12.73,6.15
2001,11.83,10.53,15.92,14.58,10.03,14.91,13.50,15.16,10.66,16.05,13.17,6.75
2002,11.67,10.44,15.54,14.23,9.89,14.71,13.48,15.03,10.41,15.98,13.03,6.63
2003,11.42,10.23,15.04,13.75,10.06,14.22,13.13,14.57,10.20,15.46,12.64,6.63
2004,12.19,10.86,16.03,14.72,10.68,15.20,13.87,15.52,10.98,16.39,13.51,7.22
2005,10.92,9.64,14.83,13.54,9.24,13.90,12.62,14.21,9.75,15.07,12.24,5.90
2006,11.33,10.11,15.24,13.87,9.79,14.24,13.04,14.51,10.10,15.50,12.56,6.42
2007,12.03,10.84,15.78,14.43,10.57,14.90,13.85,15.21,10.79,16.06,13.30,7.09
