Variable:,tasmin
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
1901,7.25,6.75,8.79,11.77,9.10,6.58,3.34,8.72,7.31,3.78,6.80,8.17,4.49,10.31,10.32,12.80,7.33,-2.32,6.90,-1.75,7.68
1902,7.55,7.06,8.93,11.94,9.30,6.98,3.64,9.00,7.65,4.14,7.14,8.43,4.84,10.43,10.70,13.03,7.70,-1.95,7.20,-1.40,8.09
1903,7.50,7.21,9.01,11.77,9.33,6.87,3.73,9.06,7.63,4.06,7.18,8.57,4.84,10.58,10.40,12.74,7.60,-1.92,7.23,-1.39,8.08
1904,8.01,7.64,9.23,11.98,9.65,7.53,4.28,9.54,8.31,4.77,7.70,8.94,5.51,10.80,10.99,13.05,8.20,-1.31,7.78,-0.73,8.72
1905,7.37,7.01,8.80,11.66,9.15,6.78,3.70,8.88,7.52,3.96,7.02,8.40,4.71,10.39,10.32,12.62,7.46,-2.10,7.05,-1.52,7.97
1906,7.34,6.90,8.67,11.49,9.01,6.84,3.53,8.86,7.70,4.08,6.97,8.22,4.90,10.25,10.26,12.45,7.52,-2.09,7.09,-1.35,7.97
1907,7.37,6.99,8.76,11.51,9.11,6.81,3.53,8.93,7.65,4.03,6.98,8.33,4.83,10.32,10.42,12.48,7.54,-2.10,7.12,-1.43,7.97
1908,7.15,6.65,8.51,11.45,8.88,6.57,3.21,8.63,7.40,3.78,6.71,7.99,4.58,10.03,10.29,12.53,7.31,-2.36,6.84,-1.68,7.71
1909,7.10,6.74,8.60,11.57,8.94,6.42,3.26,8.65,7.12,3.61,6.72,8.08,4.28,10.17,10.20,12.57,7.11,-2.50,6.83,-1.97,7.63
1910,7.58,7.26,8.94,11.63,9.26,7.07,4.04,9.08,7.76,4.32,7.26,8.56,4.97,10.56,10.46,12.60,7.66,-1.72,7.33,-1.28,8.38
1911,8.03,7.56,9.22,11.98,9.65,7.46,4.34,9.48,8.34,4.72,7.65,8.90,5.55,10.84,11.35,13.27,8.10,-1.31,7.73,-0.72,8.68
1912,7.46,6.93,8.67,11.66,9.06,6.88,3.78,8.86,7.64,4.09,7.06,8.26,4.84,10.26,10.68,12.90,7.54,-1.90,7.12,-1.40,8.14
1913,7.76,7.26,9.07,11.95,9.48,7.13,3.96,9.20,8.00,4.38,7.30,8.68,5.22,10.66,11.00,13.17,7.82,-1.67,7.38,-1.03,8.32
1914,7.50,6.93,8.49,11.46,8.95,7.05,3.85,8.91,7.71,4.24,7.10,8.19,4.91,10.06,10.91,12.82,7.67,-1.75,7.17,-1.35,8.27
1915,7.58,7.01,8.97,11.93,9.29,6.94,3.88,8.97,7.71,4.19,7.11,8.42,4.91,10.55,10.86,13.05,7.59,-1.89,7.22,-1.35,8.15
1916,8.07,7.77,9.60,12.51,9.98,7.39,4.55,9.63,8.00,4.52,7.82,9.20,5.18,11.23,10.95,13.45,8.09,-1.38,7.83,-1.06,8.71
1917,7.35,7.05,8.93,11.90,9.30,6.60,3.51,8.95,7.23,3.67,7.06,8.47,4.37,10.50,10.49,13.00,7.42,-2.34,7.13,-1.91,7.79
1918,7.57,7.11,8.75,11.72,9.14,7.10,4.12,9.00,7.84,4.32,7.25,8.44,5.06,10.41,10.33,12.65,7.71,-1.57,7.30,-1.18,8.35
1919,7.32,6.84,8.69,11.68,9.01,6.70,3.45,8.80,7.51,3.88,6.92,8.23,4.70,10.29,10.48,12.84,7.41,-2.33,7.10,-1.57,7.91
