Variable:,pr
,Jordan,Ajloon,Balqa,Aqaba,Karak,Amman,Tafiela,Irbid,Jarash,Ma'an,Madaba,Mafraq,Zarqa
1901,88.98,317.50,283.56,60.35,177.80,134.61,124.69,325.40,317.17,52.73,229.39,81.35,72.09
1902,120.04,497.80,445.87,58.17,267.19,209.21,174.00,506.77,497.28,64.20,359.84,98.27,113.86
1903,91.59,384.40,341.50,42.66,190.02,161.69,117.41,392.91,384.00,47.50,268.05,78.95,90.34
1904,147.59,597.10,544.34,79.58,374.60,259.40,258.25,593.11,596.46,83.44,464.34,105.07,133.15
1905,140.08,564.30,507.12,71.66,328.13,248.45,218.92,566.51,563.71,80.57,416.41,104.58,131.69
1906,120.61,452.00,385.15,71.07,211.79,186.91,145.34,492.86,451.55,73.88,277.49,110.34,109.35
1907,133.42,557.40,506.66,61.96,326.39,242.03,216.54,554.51,556.81,71.49,424.51,99.73,127.22
1908,127.17,526.60,469.62,71.84,290.79,220.59,194.38,540.68,526.04,70.90,378.18,96.82,118.04
1909,112.33,395.90,343.81,80.07,200.99,163.87,138.28,420.65,395.50,73.09,260.60,101.01,93.78
1910,99.70,411.80,357.76,53.63,189.89,166.55,121.41,435.15,411.39,53.09,267.37,89.24,99.05
1911,177.92,739.00,656.19,69.48,395.60,320.08,255.44,757.13,738.24,98.53,520.80,142.54,173.46
1912,128.48,486.20,440.48,75.96,298.19,208.08,212.41,489.86,485.69,74.89,370.63,103.37,110.41
1913,121.44,500.50,442.24,53.18,245.63,211.04,150.81,519.33,499.99,64.84,343.59,107.11,118.11
1914,113.98,455.40,401.96,59.88,229.60,187.00,148.24,473.95,454.92,62.69,313.75,101.77,104.67
1915,79.14,291.90,259.87,44.06,156.22,126.41,102.84,298.32,291.60,43.72,207.12,75.08,71.74
1916,131.27,510.90,470.75,72.46,341.44,227.04,235.52,505.73,510.34,74.67,412.40,95.18,113.68
1917,116.15,468.40,435.57,69.39,311.28,202.31,212.77,458.37,467.88,62.93,386.65,82.35,98.15
1918,147.67,596.10,531.88,94.73,325.65,249.24,222.21,601.46,595.48,85.15,428.30,113.23,135.22
1919,123.32,504.20,445.63,54.17,260.89,220.07,168.05,520.53,503.69,69.46,348.62,99.83,122.90
1920,135.96,528.90,484.37,85.14,349.16,232.58,253.89,521.65,528.33,81.37,419.22,92.25,116.76
1921,119.81,474.60,425.62,72.60,275.70,205.02,195.29,484.45,474.10,69.01,348.27,90.41,108.04
1922,106.95,450.80,403.33,48.55,242.13,191.93,155.40,459.61,450.32,57.37,324.74,84.60,102.72
1923,97.10,381.40,336.99,50.40,199.88,159.22,129.13,393.59,381.01,53.59,265.11,86.98,88.72
