Variable:,tasmin
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
1901,20.20,19.58,23.73,13.95,23.32,20.05,12.91,20.64
1902,19.55,18.72,23.34,13.34,23.24,19.11,12.26,20.05
1903,19.35,18.42,23.25,13.16,23.21,18.84,12.08,19.84
1904,19.50,18.65,23.32,13.29,23.15,19.08,12.23,19.98
1905,19.37,18.46,23.22,13.15,23.28,18.81,12.04,19.88
1906,19.37,18.55,23.07,13.04,23.19,18.94,11.94,19.79
1907,19.24,18.46,23.07,12.92,22.91,18.78,11.88,19.75
1908,19.48,18.64,23.22,13.22,23.30,19.03,12.12,19.93
1909,19.38,18.75,23.12,13.03,22.79,18.95,11.99,19.94
1910,19.48,18.60,23.32,13.19,23.38,18.97,12.14,19.95
1911,19.44,18.51,23.25,13.15,23.46,18.92,12.06,19.86
1912,19.17,18.29,23.07,12.89,23.07,18.62,11.81,19.67
1913,18.89,17.94,22.84,12.58,22.99,18.26,11.48,19.39
1914,19.57,18.82,23.29,13.28,23.16,19.15,12.22,20.06
1915,19.66,18.99,23.35,13.32,23.21,19.23,12.26,20.17
1916,19.04,18.20,22.88,12.68,23.09,18.41,11.55,19.54
1917,18.91,18.02,22.82,12.55,23.07,18.22,11.43,19.44
1918,19.18,18.30,23.05,12.89,23.13,18.60,11.79,19.69
1919,19.70,18.96,23.34,13.42,23.22,19.33,12.33,20.16
1920,19.03,18.18,22.95,12.66,23.06,18.37,11.58,19.58
1921,19.11,18.27,22.90,12.74,23.06,18.55,11.64,19.59
1922,19.12,18.30,22.86,12.75,23.05,18.61,11.64,19.58
1923,19.06,18.21,22.82,12.67,23.04,18.52,11.57,19.50
1924,19.57,18.81,23.27,13.27,23.17,19.17,12.19,20.04
1925,19.30,18.49,23.09,12.98,23.12,18.75,11.89,19.81
1926,19.36,18.56,23.14,13.05,23.12,18.87,11.98,19.85
1927,19.48,18.73,23.16,13.12,23.14,19.08,12.06,19.92
1928,20.13,19.45,23.68,13.94,23.36,19.94,12.84,20.55
1929,19.45,18.64,23.19,13.18,23.19,19.02,12.05,19.90
1930,18.94,18.05,22.75,12.55,23.06,18.34,11.45,19.39
1931,19.64,18.92,23.33,13.31,23.20,19.23,12.26,20.13
1932,19.34,18.60,23.06,12.96,23.11,18.84,11.89,19.84
1933,19.64,18.91,23.24,13.33,23.18,19.33,12.25,20.06
1934,19.35,18.57,23.08,13.01,23.12,18.87,11.94,19.82
1935,19.39,18.66,23.08,12.99,23.09,18.95,11.94,19.86
1936,19.63,18.95,23.24,13.27,23.17,19.29,12.19,20.07
1937,19.72,19.02,23.37,13.43,23.24,19.33,12.34,20.22
1938,19.43,18.64,23.12,13.13,23.15,19.00,12.01,19.88
1939,20.11,19.47,23.64,13.88,23.33,19.90,12.80,20.55
1940,20.14,19.48,23.64,13.94,23.36,19.96,12.84,20.56
1941,19.40,18.62,23.04,13.11,23.04,19.02,12.01,19.83
1942,19.06,18.26,22.64,12.78,22.78,18.72,11.63,19.42
1943,18.66,17.70,22.39,12.45,22.62,18.24,11.28,19.02
1944,19.16,18.22,22.92,12.92,23.15,18.69,11.80,19.57
1945,18.65,17.73,22.43,12.36,22.67,18.15,11.26,19.07
1946,19.01,18.05,22.77,12.77,23.05,18.50,11.63,19.41
1947,20.14,19.02,24.06,14.04,24.42,19.54,12.81,20.56
1948,19.40,18.46,23.24,13.18,23.40,18.89,12.06,19.83
1949,19.99,18.99,23.88,13.80,24.10,19.44,12.69,20.41
1950,19.66,18.58,23.79,13.46,24.06,18.91,12.24,20.14
1951,19.59,18.34,23.83,13.56,24.33,18.69,12.13,20.04
1952,19.85,18.78,23.87,13.70,24.22,19.11,12.43,20.31
1953,19.81,18.74,23.86,13.70,23.98,19.17,12.57,20.31
1954,19.75,18.65,23.85,13.66,23.91,19.12,12.54,20.23
1955,19.64,18.72,23.48,13.43,23.50,19.19,12.38,20.09
1956,19.20,18.22,23.20,13.01,23.17,18.67,11.90,19.65
1957,19.30,18.55,23.02,13.04,22.76,18.93,12.00,19.80
1958,19.91,19.17,23.65,13.68,23.35,19.52,12.62,20.45
1959,19.30,18.46,23.10,13.12,22.95,18.90,12.00,19.77
1960,19.77,19.06,23.56,13.46,23.17,19.39,12.48,20.33
1961,19.24,18.30,23.23,13.14,23.11,18.68,12.05,19.75
1962,19.44,18.77,23.23,13.15,22.76,19.06,12.13,20.01
1963,20.02,19.28,23.87,13.72,23.50,19.63,12.78,20.56
1964,19.16,18.24,23.09,13.04,22.95,18.67,11.86,19.65
1965,19.37,18.58,23.07,13.14,22.91,19.03,12.08,19.85
1966,19.77,19.00,23.57,13.49,23.29,19.41,12.54,20.27
1967,19.07,18.17,22.90,12.89,22.84,18.65,11.76,19.53
1968,19.19,18.37,23.02,12.94,22.84,18.73,11.88,19.70
1969,19.73,18.92,23.40,13.54,23.29,19.42,12.44,20.14
1970,19.34,18.46,23.15,13.16,23.10,18.95,12.05,19.77
