Variable:,pr
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,SNNPR,Tigray,Oromia,Somali
1901,852.05,1226.19,464.05,1107.86,1231.66,893.74,1110.59,1011.00,1138.24,460.64,1101.54,463.30
1902,750.96,970.86,221.70,980.00,1202.79,306.51,1119.85,432.30,1097.42,379.84,993.57,381.41
1903,923.36,1424.23,362.92,1212.73,1373.61,724.25,1124.72,960.70,1252.37,601.97,1264.05,444.84
1904,803.59,1100.30,332.32,1065.82,1333.61,667.70,1119.56,817.30,1075.50,445.64,1025.59,435.90
1905,868.05,1093.01,370.66,1098.25,1430.36,889.42,1316.66,1059.80,1193.03,480.09,1109.23,472.08
1906,893.42,1515.06,351.92,1222.74,1363.53,510.63,1134.10,595.40,1253.13,473.93,1214.93,408.44
1907,826.25,1036.45,301.96,1111.30,1245.24,421.86,1127.45,557.20,1172.69,655.52,1077.37,397.02
1908,816.28,1158.97,302.65,1158.41,1335.94,418.96,1117.93,574.40,1097.05,535.48,1049.68,398.30
1909,913.52,1404.33,439.67,1311.70,1353.94,663.59,1268.93,785.20,1234.86,654.04,1163.93,426.70
1910,832.93,1194.99,358.22,1162.10,1289.91,522.60,1043.15,664.60,1096.81,692.90,1069.32,407.60
1911,852.10,1234.82,480.77,1202.06,1170.53,994.54,977.18,1202.50,1029.38,594.58,1060.03,492.57
1912,800.08,1357.42,379.36,1228.96,1054.51,572.28,954.52,697.40,973.86,546.36,1016.04,417.45
1913,730.80,990.48,299.95,901.36,925.82,539.38,815.65,688.50,989.39,631.19,969.68,417.70
1914,946.79,1459.31,492.67,1364.97,1309.88,842.97,1229.43,1037.20,1186.31,650.08,1231.79,461.89
1915,846.27,1337.89,296.66,1150.78,1283.49,576.87,1188.17,742.50,1165.23,479.07,1150.38,394.31
1916,984.74,1464.76,489.51,1376.70,1440.40,712.09,1306.33,797.00,1262.60,1018.75,1270.49,438.12
1917,928.76,1487.99,407.80,1294.91,1390.01,660.42,1259.11,814.80,1180.46,687.92,1239.91,429.54
1918,734.38,982.04,226.83,991.67,1161.18,274.59,1086.06,409.20,1082.43,526.90,937.89,362.56
1919,756.93,996.84,357.30,1033.24,1192.45,592.07,1120.11,702.90,1003.11,606.82,923.16,403.10
1920,833.09,1048.10,394.37,1125.42,1282.64,612.33,1218.47,750.60,1169.55,794.31,1008.17,420.42
1921,759.19,996.70,280.67,1031.92,1342.21,453.89,1159.74,619.90,1000.65,564.98,974.20,362.65
1922,776.84,1032.46,374.45,1070.39,1228.47,652.23,1089.42,830.20,999.42,658.21,967.04,395.34
1923,926.30,1183.64,379.07,1151.37,1369.63,737.73,1274.46,919.50,1257.35,615.19,1200.62,528.69
1924,816.65,1216.41,331.30,1248.12,1331.06,521.92,1063.80,679.20,1054.71,640.44,1019.22,380.54
1925,863.09,1171.83,345.80,1129.72,1237.26,579.21,1128.92,746.80,1143.54,624.32,1151.23,446.48
1926,949.20,1499.28,385.72,1242.07,1287.26,873.92,1123.57,1148.70,1228.00,572.61,1282.38,524.14
1927,758.71,1223.57,318.68,1123.19,1214.76,633.12,884.31,806.80,946.97,509.02,974.70,378.06
1928,834.75,1339.98,297.85,1271.37,1327.81,391.80,1088.81,474.40,1120.42,585.56,1086.45,359.89
1929,879.40,1233.68,349.12,1299.35,1411.33,602.42,1194.88,824.90,1134.21,729.73,1105.23,418.48
1930,867.08,1408.25,343.85,1162.16,1223.42,628.18,1061.52,805.30,1189.40,470.61,1189.90,423.48
1931,798.66,1087.28,310.28,1095.85,1293.94,654.54,1043.72,906.80,1017.16,563.77,1042.27,406.94
1932,830.30,1001.93,410.36,1154.00,1360.73,747.51,1257.52,904.20,1104.71,874.30,1006.61,384.73
1933,765.61,1109.74,262.28,1148.48,1383.21,421.72,1106.01,585.80,973.86,599.17,975.31,334.59
1934,796.00,1125.90,339.22,1141.26,1345.26,525.32,1125.95,761.70,1045.37,650.93,1006.61,362.81
1935,918.32,1192.69,326.32,1209.10,1440.75,557.92,1227.33,762.50,1301.94,808.64,1195.11,439.63
