Variable:,tasmax
,"Norfolk Island","Administrative unit not available"
1901,21.50,21.50
1902,21.18,21.18
1903,21.52,21.52
1904,21.07,21.07
1905,21.19,21.19
1906,21.33,21.33
1907,21.58,21.58
1908,21.36,21.36
1909,21.66,21.66
1910,21.95,21.95
1911,21.33,21.33
1912,21.24,21.24
1913,21.29,21.29
1914,21.34,21.34
1915,22.13,22.13
1916,22.12,22.12
1917,21.64,21.64
1918,21.21,21.21
1919,21.18,21.18
1920,21.44,21.44
1921,21.59,21.59
1922,21.57,21.57
1923,21.23,21.23
1924,21.24,21.24
1925,21.08,21.08
1926,21.26,21.26
1927,21.41,21.41
1928,21.33,21.33
1929,21.63,21.63
1930,21.19,21.19
1931,21.79,21.79
1932,21.47,21.47
1933,21.80,21.80
1934,21.27,21.27
1935,21.45,21.45
1936,21.22,21.22
1937,21.16,21.16
1938,21.85,21.85
1939,21.31,21.31
1940,20.75,20.75
1941,21.26,21.26
1942,21.77,21.77
1943,21.50,21.50
1944,21.15,21.15
1945,20.73,20.73
1946,21.65,21.65
1947,21.24,21.24
1948,21.60,21.60
1949,21.43,21.43
1950,21.69,21.69
1951,20.86,20.86
1952,21.18,21.18
1953,21.43,21.43
1954,21.26,21.26
1955,21.58,21.58
1956,21.35,21.35
1957,21.23,21.23
1958,21.48,21.48
1959,21.08,21.08
1960,21.29,21.29
1961,21.02,21.02
1962,21.50,21.50
1963,21.22,21.22
1964,21.41,21.41
1965,20.91,20.91
1966,20.91,20.91
1967,21.26,21.26
1968,21.11,21.11
1969,21.03,21.03
1970,21.79,21.79
1971,21.50,21.50
1972,20.92,20.92
1973,21.93,21.93
1974,21.43,21.43
1975,21.58,21.58
1976,21.08,21.08
1977,21.05,21.05
1978,21.22,21.22
1979,21.33,21.33
1980,21.28,21.28
1981,21.74,21.74
1982,21.53,21.53
1983,21.44,21.44
1984,21.27,21.27
1985,21.21,21.21
1986,21.38,21.38
1987,21.19,21.19
1988,21.73,21.73
1989,21.43,21.43
1990,21.68,21.68
1991,21.26,21.26
1992,20.96,20.96
1993,21.07,21.07
1994,21.06,21.06
1995,21.79,21.79
1996,21.73,21.73
1997,21.13,21.13
1998,22.21,22.21
1999,21.52,21.52
2000,21.34,21.34
2001,21.48,21.48
2002,21.34,21.34
2003,21.28,21.28
2004,21.38,21.38
2005,21.58,21.58
2006,21.29,21.29
2007,21.63,21.63
2008,21.28,21.28
2009,21.39,21.39
2010,21.74,21.74
2011,21.65,21.65
2012,21.18,21.18
2013,21.52,21.52
2014,21.52,21.52
2015,21.72,21.72
2016,22.37,22.37
2017,22.32,22.32
2018,21.98,21.98
2019,22.02,22.02
2020,22.17,22.17
