Variable:,tasmin
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
1901,0.49,3.57,2.57,2.70,3.80,3.37,1.18,1.91,3.41,-0.01,-2.89,3.35,2.71,2.74,-1.33,-1.40,2.20,3.78,2.04,3.81,4.04,0.07,-2.19,-2.54,1.67,3.62,3.67
1902,0.85,3.90,2.94,3.07,4.13,3.64,1.53,2.27,3.87,0.36,-2.52,3.68,3.06,3.07,-0.96,-1.03,2.56,4.11,2.40,4.16,4.37,0.44,-1.83,-2.15,2.04,3.98,4.02
1903,0.87,4.02,2.92,3.06,4.26,3.84,1.58,2.32,3.83,0.35,-2.54,3.73,3.15,3.11,-0.92,-0.99,2.55,4.24,2.42,4.25,4.44,0.35,-1.81,-2.18,2.05,4.03,4.08
1904,1.51,4.61,3.57,3.71,4.83,4.35,2.22,2.95,4.48,1.00,-1.89,4.32,3.77,3.72,-0.27,-0.34,3.20,4.77,3.06,4.84,5.01,1.07,-1.14,-1.50,2.69,4.65,4.68
1905,0.73,3.84,2.79,2.93,4.07,3.68,1.42,2.18,3.72,0.21,-2.70,3.63,2.96,3.02,-1.10,-1.17,2.42,4.08,2.27,4.08,4.37,0.29,-1.97,-2.29,1.94,3.86,3.92
1906,0.84,3.91,2.84,2.98,4.14,3.65,1.55,2.28,3.83,0.31,-2.59,3.71,3.08,3.09,-0.93,-1.00,2.48,4.06,2.38,4.17,4.31,0.41,-1.83,-2.15,2.03,3.97,3.99
1907,0.77,3.87,2.83,2.97,4.07,3.61,1.45,2.20,3.84,0.27,-2.63,3.60,3.01,3.02,-1.06,-1.13,2.46,4.04,2.31,4.09,4.28,0.31,-1.90,-2.25,1.99,3.91,3.94
1908,0.56,3.67,2.56,2.71,3.91,3.43,1.28,2.04,3.61,0.04,-2.87,3.44,2.82,2.83,-1.23,-1.30,2.20,3.80,2.12,3.93,4.00,0.12,-2.09,-2.44,1.79,3.71,3.73
1909,0.30,3.37,2.33,2.48,3.59,3.13,0.99,1.74,3.24,-0.20,-3.08,3.18,2.52,2.58,-1.52,-1.59,1.97,3.54,1.85,3.63,3.79,-0.11,-2.39,-2.72,1.51,3.43,3.47
1910,1.07,4.18,3.13,3.27,4.43,3.98,1.76,2.51,3.99,0.56,-2.35,3.92,3.31,3.34,-0.76,-0.83,2.76,4.42,2.65,4.43,4.65,0.62,-1.63,-1.98,2.26,4.24,4.30
