Variable:,tasmin
,"Korea, Democratic People's Republic of",Chagang-do,Kaesong-si,Kangwon-do,Hamgyong-bukto,Hwanghae-bukto,P'yongan-bukto,P'yongyang-si,Hamgyong-namdo,Hwanghae-namdo,P'yongan-namdo,Yanggang-do
1956,-1.10,-3.37,3.91,2.23,-2.90,2.67,0.72,2.65,-2.22,4.11,0.41,-7.02
1957,-1.05,-3.46,4.16,2.48,-2.68,2.80,0.56,2.64,-2.16,4.20,0.37,-6.93
1958,-0.24,-2.63,4.99,3.27,-2.05,3.60,1.42,3.49,-1.32,5.02,1.22,-6.11
1959,0.74,-1.53,5.81,4.13,-1.06,4.51,2.52,4.45,-0.39,5.89,2.21,-5.11
1960,0.16,-2.26,5.61,3.92,-1.96,4.23,1.93,4.07,-0.96,5.56,1.78,-5.94
1961,0.52,-1.85,5.82,4.06,-1.32,4.35,2.20,4.28,-0.59,5.74,2.00,-5.36
1962,-0.32,-2.73,4.99,3.29,-2.12,3.60,1.41,3.55,-1.51,4.98,1.21,-6.31
1963,-0.50,-2.70,4.62,2.77,-2.30,3.22,1.35,3.27,-1.66,4.70,1.01,-6.34
1964,0.06,-2.45,5.83,4.02,-2.26,4.40,1.82,4.14,-1.15,5.71,1.72,-6.19
1965,-0.64,-3.08,4.68,2.98,-2.63,3.35,1.12,3.31,-1.79,4.77,0.95,-6.66
1966,0.01,-2.32,5.21,3.48,-1.93,3.87,1.82,3.81,-1.09,5.26,1.57,-5.95
1967,-0.23,-2.59,5.07,3.32,-2.13,3.69,1.54,3.58,-1.39,5.07,1.30,-6.18
1968,-0.22,-2.64,4.87,3.12,-1.78,3.55,1.43,3.47,-1.34,4.96,1.19,-5.99
1969,-0.96,-3.41,4.48,2.75,-3.03,3.14,0.77,3.01,-2.09,4.47,0.68,-7.06
1970,-0.56,-2.94,4.70,2.94,-2.38,3.37,1.14,3.27,-1.69,4.72,0.92,-6.47
1971,-0.21,-2.58,4.90,3.20,-1.86,3.63,1.48,3.55,-1.37,4.97,1.21,-6.03
1972,-0.10,-2.47,5.15,3.46,-1.99,3.83,1.55,3.69,-1.18,5.18,1.39,-6.01
1973,0.47,-1.68,5.36,3.68,-1.37,4.13,2.41,4.24,-0.68,5.54,2.02,-5.36
1974,-0.52,-2.66,4.23,2.55,-2.19,3.02,1.35,3.17,-1.62,4.46,0.98,-6.24
1975,0.63,-1.54,5.53,3.81,-1.02,4.28,2.46,4.35,-0.54,5.71,2.08,-5.11
1976,-0.36,-2.60,4.55,2.90,-2.13,3.29,1.42,3.34,-1.42,4.68,1.15,-6.15
1977,-0.16,-2.43,4.98,3.26,-2.18,3.72,1.75,3.74,-1.30,5.12,1.46,-6.16
1978,0.27,-2.11,5.62,3.89,-1.77,4.32,2.06,4.24,-0.90,5.69,1.87,-5.80
1979,0.59,-1.62,5.60,3.85,-1.31,4.32,2.51,4.41,-0.55,5.74,2.16,-5.28
1980,-0.54,-2.68,4.16,2.37,-2.01,2.95,1.35,3.13,-1.70,4.43,0.92,-6.17
