Variable:,tasmin
,"Pitcairn Islands","Administrative unit not available"
1901,NaN,18.33
1902,NaN,18.33
1903,NaN,18.33
1904,NaN,18.33
1905,NaN,18.33
1906,NaN,18.33
1907,NaN,18.33
1908,NaN,18.33
1909,NaN,18.33
1910,NaN,18.33
1911,NaN,18.33
1912,NaN,18.33
1913,NaN,18.33
1914,NaN,18.33
1915,NaN,18.33
1916,NaN,18.33
1917,NaN,18.33
1918,NaN,18.33
1919,NaN,18.33
1920,NaN,18.33
1921,NaN,18.33
1922,NaN,18.33
1923,NaN,18.33
1924,NaN,18.33
1925,NaN,18.33
1926,NaN,18.33
1927,NaN,18.33
1928,NaN,18.33
1929,NaN,18.33
1930,NaN,18.33
1931,NaN,18.33
1932,NaN,18.33
1933,NaN,18.33
1934,NaN,18.33
1935,NaN,18.33
1936,NaN,18.33
1937,NaN,18.33
1938,NaN,18.33
1939,NaN,18.33
1940,NaN,19.63
1941,NaN,19.51
1942,NaN,19.60
1943,NaN,19.83
1944,NaN,18.81
1945,NaN,18.09
1946,NaN,18.33
1947,NaN,18.53
1948,NaN,18.29
1949,NaN,18.33
1950,NaN,18.33
1951,NaN,18.33
1952,NaN,18.33
1953,NaN,18.33
1954,NaN,18.33
1955,NaN,18.40
1956,NaN,18.93
1957,NaN,18.43
1958,NaN,17.93
1959,NaN,18.03
1960,NaN,17.89
1961,NaN,18.19
1962,NaN,17.88
1963,NaN,17.98
1964,NaN,18.12
1965,NaN,18.23
1966,NaN,18.28
1967,NaN,18.46
1968,NaN,17.94
1969,NaN,18.26
1970,NaN,18.48
1971,NaN,18.44
1972,NaN,18.20
1973,NaN,18.55
1974,NaN,18.46
1975,NaN,18.63
1976,NaN,18.25
1977,NaN,18.35
1978,NaN,18.54
1979,NaN,18.23
1980,NaN,18.58
1981,NaN,18.23
1982,NaN,18.02
1983,NaN,17.95
1984,NaN,18.47
1985,NaN,18.63
1986,NaN,18.33
1987,NaN,18.09
1988,NaN,18.47
1989,NaN,18.59
1990,NaN,18.65
1991,NaN,18.14
1992,NaN,18.23
1993,NaN,17.75
1994,NaN,18.10
1995,NaN,18.13
1996,NaN,18.04
1997,NaN,17.98
1998,NaN,17.98
1999,NaN,18.83
2000,NaN,18.61
2001,NaN,18.13
2002,NaN,18.38
2003,NaN,18.06
2004,NaN,17.69
2005,NaN,17.82
2006,NaN,18.37
2007,NaN,18.10
2008,NaN,18.04
2009,NaN,18.02
2010,NaN,18.08
2011,NaN,18.08
2012,NaN,17.90
2013,NaN,17.69
2014,NaN,17.94
2015,NaN,17.92
2016,NaN,18.03
2017,NaN,18.36
2018,NaN,18.27
2019,NaN,17.56
2020,NaN,18.07
