Variable:,pr
,Zimbabwe,Bulawayo,Harare,Manicaland,"Mashonaland Central","Mashonaland West",Masvingo,"Matabeleland South",Midlands,"Matabeleland North","Mashonaland East"
1966,663.75,647.82,736.44,921.09,679.91,681.30,602.66,505.80,670.55,658.26,707.75
1967,670.73,550.53,813.50,1024.01,697.28,699.55,651.07,474.83,641.30,597.91,785.02
1968,521.11,477.27,659.04,631.90,663.04,612.88,454.41,372.82,487.51,507.12,558.12
1969,862.10,696.57,1064.84,1155.47,957.72,885.84,769.35,580.99,905.59,826.92,1064.35
1970,444.36,328.96,638.29,662.17,555.51,537.93,355.23,267.89,420.28,384.53,567.95
1971,597.80,523.53,756.67,798.75,731.06,659.08,546.00,454.49,566.93,544.43,652.29
1972,721.69,656.34,886.96,957.87,711.83,696.78,712.27,556.83,771.12,671.95,847.92
1973,707.43,636.06,886.97,916.30,757.21,709.84,708.76,493.35,733.04,670.19,831.68
1974,937.02,836.22,1225.27,1294.47,956.30,1006.81,861.90,643.50,947.02,858.96,1192.05
1975,673.01,636.71,782.77,877.13,699.45,629.58,708.31,548.87,671.95,649.54,705.39
1976,785.14,660.15,830.56,1077.48,829.77,853.96,739.87,575.82,827.23,724.02,815.59
1977,893.70,863.13,1031.43,1209.09,852.65,842.27,969.26,742.97,932.20,808.50,934.46
1978,977.31,873.09,1307.79,1144.11,1080.72,1013.15,930.16,738.49,1012.49,969.08,1085.93
1979,586.38,507.68,732.49,730.01,590.35,629.93,547.22,422.16,626.57,589.12,622.52
1980,658.83,576.12,790.70,888.18,723.08,732.25,610.07,495.09,685.44,551.29,791.73
1981,817.28,727.06,999.19,1182.12,827.63,805.03,792.38,590.05,795.19,754.00,1034.96
1982,457.61,355.02,688.30,675.00,662.52,557.29,358.90,271.50,410.10,373.62,613.05
1983,474.63,432.16,551.29,610.97,586.74,510.15,338.79,333.49,471.26,525.20,522.04
1984,564.98,494.24,725.50,822.53,596.31,627.92,597.41,393.57,545.35,462.96,639.96
1985,762.92,515.73,1141.62,1094.49,1058.03,850.13,649.56,430.09,787.16,632.56,1008.48
1986,693.84,532.72,899.39,941.15,854.21,830.09,603.15,440.97,655.83,634.20,819.79
1987,477.63,495.53,565.39,702.70,532.21,433.05,456.62,386.76,448.14,460.64,532.03
1988,660.15,576.04,910.96,978.73,815.39,696.59,524.02,488.10,627.42,582.53,861.73
1989,641.37,521.19,781.81,927.92,882.83,835.94,472.50,375.19,605.23,564.27,748.12
1990,633.21,503.47,884.90,890.54,777.22,735.21,507.62,389.26,638.45,571.09,807.95
1991,523.55,543.01,640.86,561.59,569.44,567.22,371.79,415.66,521.78,645.12,524.23
1992,459.85,472.57,523.54,571.97,470.74,493.54,365.63,344.93,502.89,477.61,516.97
1993,673.02,587.57,829.73,923.19,723.74,734.18,645.81,457.00,663.70,638.53,748.58
1994,464.75,288.62,713.77,695.62,604.22,542.33,387.66,275.59,440.44,399.99,588.21
1995,455.66,546.67,509.23,615.51,444.44,391.42,433.78,442.61,449.12,436.54,515.21
1996,702.24,705.56,841.28,970.56,715.77,687.34,718.51,562.09,679.16,669.49,737.87
1997,801.67,608.94,1087.27,1158.39,972.20,914.70,636.21,487.39,799.05,757.56,982.60
1998,663.51,529.72,908.37,932.47,812.15,718.34,583.19,415.38,650.09,617.03,824.21
1999,684.46,508.83,958.54,1049.91,847.73,750.48,648.38,439.48,650.45,540.50,883.47
2000,875.69,797.41,1107.34,1224.25,911.29,907.79,844.01,633.96,913.82,788.96,1007.97
2001,861.05,724.81,1079.58,1240.84,956.75,944.44,798.25,587.23,882.79,742.10,1026.07
2002,429.72,344.77,553.01,590.48,506.48,486.20,346.26,268.77,426.08,429.35,506.69
2003,591.73,453.83,820.61,927.27,745.35,683.64,556.09,371.76,543.75,459.00,738.45
2004,748.86,592.23,1003.74,1063.71,851.94,830.16,641.08,465.71,738.31,725.51,899.95
2005,580.07,494.95,771.64,790.41,669.50,617.28,495.11,390.74,607.24,545.94,706.98
2006,725.82,673.88,907.10,935.33,740.95,786.46,666.27,545.72,755.38,698.59,797.16
2007,674.20,548.19,899.22,924.38,811.15,772.58,601.78,436.04,692.90,578.94,824.06
2008,568.79,526.65,657.78,706.60,598.64,594.02,438.69,393.72,581.47,668.82,612.25
2009,649.12,629.71,791.14,799.05,715.11,705.95,614.28,512.57,666.43,603.25,694.77
2010,690.35,630.89,803.27,854.77,726.43,771.13,625.05,497.16,699.75,707.22,717.02
2011,744.98,630.07,1099.63,968.92,971.20,812.67,605.10,492.18,761.96,669.00,996.19
2012,560.11,360.75,757.16,770.24,761.35,730.01,494.22,318.62,505.47,464.09,678.91
2013,628.59,571.49,750.97,833.85,659.34,633.37,594.70,481.17,616.36,623.12,704.44
2014,593.97,494.32,697.64,838.67,617.24,607.14,563.91,394.99,585.24,596.82,674.72
2015,437.90,391.88,527.20,546.86,450.21,439.62,402.41,338.82,447.16,453.59,480.23
2016,508.88,474.58,603.64,655.68,531.36,488.12,467.59,410.88,531.38,510.49,561.88
2017,863.07,813.02,1131.29,1178.29,918.78,883.24,765.90,602.72,883.95,852.40,1028.00
2018,607.47,569.20,763.35,687.65,741.05,704.28,500.04,460.53,634.63,599.65,639.23
2019,695.15,559.24,987.75,1123.80,977.52,733.73,620.34,426.83,643.76,527.13,959.38
2020,655.02,572.36,773.95,825.33,641.57,714.46,601.06,457.09,683.20,679.73,698.52
