Variable:,tasmax
,Eswatini,Hhohho,Lubombo,Manzini,Shiselweni
1901,25.60,24.64,27.40,24.08,25.36
1902,25.60,24.65,27.40,24.08,25.32
1903,25.70,24.76,27.50,24.18,25.42
1904,25.49,24.50,27.30,23.96,25.26
1905,25.61,24.68,27.40,24.10,25.35
1906,25.28,24.32,27.09,23.76,25.04
1907,25.05,24.10,26.85,23.53,24.81
1908,25.47,24.53,27.26,23.95,25.20
1909,25.46,24.51,27.26,23.95,25.20
1910,25.38,24.41,27.15,23.87,25.16
1911,25.42,24.43,27.20,23.91,25.22
1912,26.27,25.31,28.07,24.76,26.04
1913,26.39,25.43,28.17,24.88,26.17
1914,26.39,25.45,28.17,24.88,26.14
1915,25.98,25.01,27.77,24.47,25.76
1916,26.37,25.43,28.15,24.86,26.13
1917,25.39,24.46,27.17,23.88,25.14
1918,25.64,24.63,27.43,24.13,25.45
1919,25.92,24.93,27.69,24.43,25.73
1920,26.16,25.19,27.94,24.65,25.93
1921,25.73,24.76,27.51,24.22,25.51
1922,26.20,25.26,27.97,24.70,25.95
1923,26.43,25.46,28.21,24.92,26.22
1924,25.45,24.51,27.22,23.94,25.21
1925,25.91,24.91,27.72,24.39,25.71
1926,26.19,25.21,27.98,24.68,25.96
1927,26.55,25.53,28.33,25.05,26.36
1928,26.11,25.18,27.89,24.61,25.86
1929,25.76,24.80,27.52,24.25,25.54
1930,25.62,24.64,27.40,24.12,25.43
1931,26.41,25.41,28.19,24.89,26.20
1932,26.54,25.52,28.31,25.04,26.37
1933,26.83,25.80,28.61,25.33,26.65
1934,26.63,25.62,28.41,25.13,26.44
1935,25.84,24.85,27.61,24.33,25.63
1936,26.21,25.20,27.99,24.70,26.02
1937,26.72,25.71,28.51,25.20,26.53
1938,26.41,25.39,28.19,24.91,26.24
1939,25.82,24.79,27.62,24.29,25.64
1940,26.88,25.86,28.67,25.36,26.69
1941,27.54,26.55,29.34,26.03,27.33
1942,26.52,25.55,28.32,24.98,26.28
1943,25.67,24.69,27.47,24.14,25.46
1944,26.89,25.92,28.69,25.37,26.67
1945,26.72,25.64,28.50,25.21,26.62
1946,26.91,25.90,28.71,25.40,26.72
1947,26.78,25.81,28.58,25.27,26.55
1948,26.62,25.61,28.41,25.10,26.45
1949,26.54,25.53,28.31,25.04,26.36
1950,26.51,25.53,28.30,24.99,26.29
1951,26.08,25.04,27.85,24.58,25.94
1952,26.52,25.47,28.30,25.02,26.38
1953,25.98,24.93,27.78,24.47,25.83
1954,26.01,25.01,27.80,24.50,25.82
1955,25.29,24.27,27.07,23.78,25.11
1956,26.03,25.02,27.80,24.53,25.86
1957,26.49,25.47,28.26,24.98,26.32
1958,26.60,25.56,28.38,25.09,26.46
1959,26.43,25.40,28.21,24.93,26.27
1960,25.89,24.77,27.70,24.35,25.81
1961,25.96,24.88,27.73,24.45,25.84
1962,26.68,25.71,28.42,25.25,26.43
1963,25.78,24.74,27.54,24.32,25.60
1964,25.80,24.76,27.55,24.34,25.63
1965,26.05,25.03,27.81,24.63,25.83
1966,26.24,25.18,28.03,24.76,26.05
1967,25.56,24.42,27.39,23.99,25.47
1968,25.72,24.64,27.51,24.23,25.56
1969,26.25,25.14,28.06,24.74,26.14
1970,26.91,25.93,28.72,25.42,26.66
1971,25.74,24.68,27.53,24.27,25.56
1972,25.84,24.88,27.60,24.40,25.59
1973,25.90,24.85,27.66,24.41,25.76
1974,25.81,24.66,27.67,24.22,25.76
1975,25.52,24.52,27.32,23.98,25.32
1976,25.67,24.56,27.51,24.10,25.54
1977,26.62,25.58,28.46,25.07,26.43
1978,26.10,25.13,27.88,24.56,25.91
1979,26.50,25.51,28.29,24.95,26.31
1980,26.37,25.25,28.21,24.80,26.29
1981,25.53,24.55,27.33,23.94,25.37
1982,26.74,25.76,28.52,25.27,26.50
1983,27.12,26.10,28.91,25.57,26.95
1984,26.07,25.08,27.80,24.61,25.90
1985,27.08,26.01,28.83,25.59,26.96
1986,27.03,25.99,28.85,25.48,26.85
1987,26.70,25.71,28.50,25.15,26.50
1988,26.64,25.66,28.46,25.08,26.44
1989,26.34,25.37,28.14,24.79,26.15
1990,26.37,25.44,28.08,24.89,26.17
1991,26.58,25.57,28.36,25.06,26.39
1992,27.75,26.73,29.49,26.27,27.59
1993,26.84,25.84,28.59,25.34,26.69
1994,26.28,25.27,28.05,24.77,26.13
1995,26.45,25.46,28.19,24.92,26.32
1996,25.68,24.70,27.46,24.12,25.54
1997,25.81,24.91,27.59,24.27,25.58
1998,26.89,25.97,28.63,25.39,26.66
1999,26.77,25.77,28.51,25.28,26.62
2000,25.41,24.38,27.20,23.87,25.29
2001,26.31,25.29,28.08,24.79,26.15
2002,26.86,25.89,28.63,25.36,26.65
2003,27.47,26.47,29.21,25.99,27.31
2004,27.09,26.06,28.85,25.60,26.96
2005,27.50,26.51,29.26,26.01,27.32
2006,26.45,25.42,28.24,24.93,26.29
2007,27.17,26.15,28.92,25.70,27.02
2008,27.19,26.16,28.94,25.70,27.02
2009,27.02,26.02,28.79,25.52,26.84
2010,27.28,26.25,29.03,25.80,27.15
2011,26.92,25.96,28.70,25.41,26.67
2012,27.62,26.69,29.38,26.14,27.35
2013,27.38,26.40,29.12,25.92,27.19
2014,27.27,26.26,29.03,25.78,27.09
2015,28.01,27.06,29.73,26.57,27.80
2016,28.15,27.22,29.92,26.67,27.90
2017,27.27,26.21,29.00,25.81,27.17
2018,27.75,26.76,29.50,26.28,27.56
2019,28.27,27.31,29.97,26.83,28.09
2020,27.14,26.09,28.88,25.66,27.03
