Variable:,tasmin
,Morocco,"Meknès - Tafilalet",Oriental,"Chaouia - Ouardigha","Doukkala - Abda","Fès - Boulemane","Gharb - Chrarda - Béni Hssen","Grand Casablanca","Guelmim - Es-Semara","Laâyoune - Boujdour - Sakia El Hamra","Marrakech - Tensift - Al Haouz","Rabat - Salé - Zemmour - Zaer","Souss - Massa - Draâ","Tadla - Azilal","Tanger - Tétouan","Taza - Al Hoceima - Taounate"
1901,11.10,9.75,9.99,11.34,12.84,8.60,12.28,12.47,14.29,16.26,11.27,10.96,10.71,8.56,10.99,10.20
1902,10.94,9.56,9.93,11.16,12.72,8.50,12.22,12.35,14.04,16.03,11.12,10.80,10.49,8.34,11.05,10.18
1903,10.90,9.57,9.85,11.22,12.72,8.52,12.30,12.42,13.87,15.72,11.09,10.90,10.43,8.37,11.09,10.20
1904,11.12,9.87,10.25,11.46,12.85,8.88,12.62,12.62,13.89,15.62,11.22,11.19,10.56,8.62,11.42,10.56
1905,10.78,9.41,9.69,11.01,12.56,8.32,12.05,12.19,13.87,15.74,10.99,10.65,10.37,8.20,10.86,9.99
1906,10.85,9.50,9.77,11.16,12.69,8.44,12.21,12.35,13.86,15.70,11.07,10.81,10.41,8.32,10.99,10.10
1907,10.64,9.28,9.57,10.93,12.47,8.22,11.99,12.12,13.65,15.41,10.86,10.59,10.21,8.08,10.79,9.91
1908,10.87,9.51,9.88,11.16,12.67,8.53,12.34,12.38,13.81,15.57,11.03,10.89,10.36,8.30,11.15,10.24
1909,10.73,9.31,9.57,10.96,12.56,8.23,12.00,12.15,13.90,15.82,10.97,10.59,10.33,8.13,10.81,9.91
1910,10.74,9.35,9.68,10.96,12.53,8.29,12.06,12.16,13.82,15.71,10.94,10.63,10.30,8.14,10.87,9.97
1911,10.66,9.27,9.80,10.89,12.39,8.33,12.04,12.10,13.65,15.64,10.77,10.62,10.10,8.04,10.86,10.01
1912,10.72,9.32,9.69,10.94,12.51,8.29,12.01,12.13,13.81,15.74,10.92,10.61,10.28,8.12,10.82,9.97
1913,10.71,9.33,9.90,10.95,12.44,8.42,12.16,12.14,13.65,15.69,10.80,10.70,10.12,8.08,11.01,10.13
1914,10.52,9.10,9.63,10.83,12.37,8.19,11.97,12.07,13.45,15.58,10.71,10.53,9.95,7.92,10.79,9.89
1915,10.82,9.35,9.76,11.07,12.69,8.32,12.16,12.33,13.97,15.95,11.05,10.73,10.37,8.17,10.98,10.02
1916,10.72,9.31,9.77,10.95,12.52,8.32,12.06,12.15,13.77,15.59,10.92,10.63,10.25,8.09,10.86,10.00
1917,10.40,8.97,9.33,10.56,12.20,7.86,11.53,11.72,13.62,15.34,10.66,10.17,10.06,7.75,10.29,9.50
1918,10.57,9.22,9.54,10.90,12.44,8.15,11.93,12.10,13.50,15.08,10.82,10.56,10.15,8.03,10.69,9.81
1919,10.72,9.20,9.49,11.04,12.74,8.10,11.94,12.26,14.00,16.06,11.10,10.59,10.37,8.13,10.68,9.76
1920,10.84,9.53,9.89,11.21,12.75,8.47,12.26,12.43,13.68,15.33,11.07,10.88,10.37,8.33,11.03,10.14
1921,10.78,9.48,9.93,11.12,12.60,8.52,12.26,12.32,13.56,15.14,10.94,10.87,10.25,8.25,11.06,10.22
1922,10.77,9.36,9.77,11.05,12.65,8.34,12.04,12.24,13.79,15.58,11.01,10.68,10.32,8.18,10.79,10.03
1923,10.85,9.40,9.82,11.19,12.75,8.41,12.23,12.39,13.91,15.77,11.11,10.85,10.40,8.28,10.97,10.12
1924,11.27,9.98,10.43,11.64,13.08,9.07,12.75,12.81,14.05,15.91,11.39,11.37,10.66,8.77,11.49,10.76
1925,10.56,9.16,9.36,11.01,12.56,8.12,12.04,12.22,13.60,15.65,10.87,10.68,10.08,8.06,10.66,9.73
1926,11.76,10.42,10.72,12.19,13.67,9.46,13.25,13.39,14.68,16.62,11.98,11.90,11.21,9.28,11.91,11.10
1927,11.12,9.78,9.97,11.54,13.10,8.73,12.46,12.74,14.16,16.23,11.41,11.17,10.64,8.62,11.12,10.29
1928,11.06,9.72,9.85,11.47,13.05,8.64,12.36,12.67,14.14,16.15,11.38,11.08,10.61,8.56,10.96,10.12
1929,11.11,9.72,10.03,11.58,13.10,8.72,12.53,12.79,14.06,15.98,11.38,11.21,10.59,8.65,11.25,10.40
1930,11.39,10.06,10.44,11.76,13.30,9.13,12.78,12.92,14.26,16.20,11.61,11.43,10.82,8.88,11.47,10.76
1931,11.08,9.69,10.21,11.34,12.85,8.84,12.45,12.54,14.06,16.16,11.22,11.07,10.48,8.45,11.20,10.54
1932,10.67,9.27,9.73,10.97,12.53,8.40,12.04,12.17,13.65,15.72,10.88,10.68,10.10,8.07,10.74,10.08
1933,11.14,9.76,10.26,11.42,12.94,8.86,12.43,12.55,14.11,16.05,11.32,11.10,10.58,8.56,11.21,10.55
1934,10.70,9.34,9.77,11.03,12.51,8.43,12.08,12.17,13.66,15.70,10.88,10.74,10.13,8.15,10.81,10.10
1935,10.99,9.64,10.01,11.30,12.81,8.68,12.20,12.38,14.00,16.06,11.19,10.92,10.46,8.47,10.87,10.29
1936,10.94,9.57,10.02,11.27,12.77,8.65,12.30,12.42,13.88,15.91,11.12,10.96,10.37,8.39,11.00,10.32
1937,11.89,10.53,10.87,12.20,13.71,9.57,13.17,13.34,14.91,16.85,12.10,11.86,11.40,9.35,11.85,11.24
1938,11.29,9.93,10.21,11.69,13.25,8.99,12.63,12.86,14.25,16.17,11.59,11.37,10.78,8.79,11.26,10.62
1939,10.91,9.54,9.78,11.34,12.87,8.58,12.39,12.56,13.87,15.83,11.20,11.05,10.40,8.40,11.05,10.19
1940,11.58,10.24,10.50,11.98,13.49,9.28,13.00,13.15,14.54,16.43,11.86,11.68,11.09,9.08,11.58,10.83
1941,11.48,10.18,10.42,11.98,13.46,9.27,12.99,13.13,14.32,16.21,11.70,11.69,10.90,9.06,11.55,10.85
1942,11.54,10.33,10.80,11.99,13.34,9.49,13.00,13.13,14.20,16.06,11.62,11.69,10.86,9.09,11.63,11.08
1943,11.31,10.06,10.58,11.74,13.17,9.19,12.76,12.88,13.95,15.78,11.45,11.45,10.65,8.85,11.45,10.81
1944,11.21,9.92,10.08,11.62,13.19,8.85,12.43,12.69,14.15,16.00,11.56,11.21,10.79,8.80,11.01,10.37
1945,12.01,10.81,11.06,12.45,13.87,9.78,13.35,13.54,14.75,16.51,12.22,12.10,11.50,9.64,11.94,11.32
1946,11.36,10.11,10.51,11.76,13.24,9.20,12.71,12.86,14.10,15.90,11.55,11.41,10.78,8.91,11.34,10.77
1947,11.74,10.40,10.79,12.12,13.62,9.51,13.06,13.22,14.68,16.58,11.97,11.80,11.18,9.24,11.70,11.10
1948,11.87,10.57,10.93,12.28,13.79,9.66,13.25,13.39,14.66,16.46,12.11,11.96,11.30,9.41,11.92,11.29
1949,11.75,10.49,10.89,12.22,13.68,9.58,13.25,13.34,14.44,16.22,11.95,11.91,11.13,9.33,11.89,11.24
1950,11.48,10.20,10.61,11.80,13.28,9.21,12.76,12.90,14.30,16.11,11.67,11.46,10.96,9.00,11.41,10.83
1951,11.09,9.88,10.35,11.50,12.94,8.93,12.43,12.62,13.77,15.67,11.24,11.18,10.45,8.64,11.09,10.47
1952,11.28,10.01,10.55,11.55,13.09,9.03,12.45,12.64,14.09,16.03,11.45,11.18,10.70,8.73,11.19,10.64
1953,11.44,10.21,10.72,11.91,13.35,9.31,12.91,13.10,14.05,15.91,11.58,11.65,10.75,8.97,11.60,10.94
1954,10.98,9.75,10.25,11.40,12.80,8.87,12.40,12.56,13.67,15.54,11.07,11.14,10.30,8.50,11.07,10.47
1955,12.23,11.02,11.55,12.70,14.07,10.20,13.79,13.87,14.78,16.60,12.30,12.46,11.48,9.76,12.58,11.91
1956,10.29,8.94,9.55,10.58,12.08,8.03,11.60,11.73,13.17,15.18,10.42,10.27,9.68,7.68,10.40,9.74
1957,10.86,9.59,10.19,11.20,12.64,8.69,12.22,12.33,13.58,15.47,10.97,10.90,10.21,8.34,11.01,10.40
1958,11.39,10.12,10.71,11.68,13.12,9.24,12.75,12.82,14.17,16.08,11.44,11.41,10.73,8.83,11.54,10.91
1959,11.24,9.98,10.75,11.60,12.94,9.32,12.87,12.79,13.76,15.66,11.19,11.42,10.40,8.65,11.74,11.11
1960,11.32,10.04,10.58,11.70,13.10,9.28,12.84,12.88,14.02,15.94,11.37,11.48,10.60,8.78,11.64,11.00
1961,11.94,10.63,11.12,12.33,13.79,9.70,13.34,13.49,14.79,16.75,12.08,12.02,11.31,9.43,12.06,11.31
1962,11.38,10.06,10.59,11.74,13.18,9.24,12.86,12.89,14.18,16.14,11.48,11.46,10.70,8.83,11.62,10.94
1963,11.03,9.67,10.25,11.43,12.84,8.89,12.57,12.62,13.84,15.83,11.12,11.20,10.32,8.44,11.35,10.58
