Variable:,tasmax
,Niue,"Administrative unit not available"
1901,26.96,26.96
1902,26.92,26.93
1903,26.80,26.81
1904,26.59,26.59
1905,26.64,26.65
1906,26.95,26.95
1907,26.64,26.65
1908,26.72,26.72
1909,26.50,26.51
1910,27.17,27.17
1911,27.55,27.55
1912,27.55,27.56
1913,27.54,27.55
1914,27.39,27.40
1915,26.95,26.95
1916,26.81,26.82
1917,26.80,26.80
1918,27.11,27.11
1919,27.49,27.50
1920,27.85,27.86
1921,27.43,27.44
1922,27.65,27.65
1923,27.35,27.36
1924,28.07,28.07
1925,27.38,27.38
1926,27.60,27.61
1927,27.81,27.81
1928,27.38,27.38
1929,27.08,27.08
1930,27.10,27.10
1931,27.09,27.10
1932,27.54,27.55
1933,27.69,27.69
1934,27.46,27.46
1935,27.66,27.66
1936,27.54,27.54
1937,27.57,27.57
1938,28.09,28.09
1939,27.62,27.62
1940,27.51,27.51
1941,27.70,27.70
1942,27.31,27.32
1943,27.69,27.69
1944,27.50,27.50
1945,27.33,27.33
1946,27.47,27.47
1947,27.47,27.48
1948,27.36,27.37
1949,27.27,27.27
1950,27.24,27.24
1951,27.16,27.17
1952,27.69,27.70
1953,27.31,27.32
1954,27.14,27.15
1955,27.24,27.24
1956,27.21,27.22
1957,27.25,27.25
1958,26.99,27.00
1959,27.10,27.11
1960,27.22,27.23
1961,27.03,27.04
1962,26.77,26.77
1963,26.88,26.88
1964,26.97,26.97
1965,26.77,26.77
1966,27.09,27.10
1967,26.78,26.79
1968,27.27,27.27
1969,27.08,27.08
1970,27.16,27.16
1971,26.97,26.97
1972,27.05,27.06
1973,27.30,27.31
1974,27.25,27.25
1975,27.23,27.24
1976,27.21,27.22
1977,27.33,27.34
1978,27.28,27.29
1979,27.62,27.62
1980,27.44,27.45
1981,27.47,27.47
1982,27.17,27.17
1983,27.49,27.50
1984,27.51,27.51
1985,27.49,27.49
1986,27.48,27.48
1987,27.15,27.15
1988,27.49,27.50
1989,27.31,27.31
1990,27.46,27.47
1991,27.30,27.31
1992,27.22,27.23
1993,27.00,27.01
1994,27.24,27.24
1995,27.73,27.73
1996,28.02,28.03
1997,27.67,27.68
1998,27.72,27.72
1999,27.78,27.79
2000,28.01,28.02
2001,28.27,28.28
2002,28.17,28.18
2003,27.88,27.88
2004,27.67,27.68
2005,27.97,27.98
2006,27.78,27.78
2007,28.08,28.09
2008,27.81,27.81
2009,27.82,27.82
2010,27.64,27.65
2011,27.64,27.65
2012,27.58,27.59
2013,27.88,27.88
2014,27.68,27.68
2015,27.51,27.52
2016,27.98,27.98
2017,27.88,27.88
2018,27.76,27.76
2019,27.86,27.86
2020,27.93,27.93
