Variable:,tasmax
,Namibia,Caprivi,Erongo,Hardap,Karas,Kavango,Khomas,Kunene,Ohangwena,Omaheke,Omusati,Oshana,Oshikoto,Otjozondjupa
1901,27.38,30.58,26.28,28.10,25.74,30.78,27.68,22.77,31.24,29.01,27.14,30.13,31.16,29.52
1902,27.34,30.80,26.28,28.00,25.58,30.79,27.64,22.77,31.25,28.96,27.15,30.13,31.16,29.52
1903,27.32,30.91,26.28,28.01,25.41,30.81,27.68,22.77,31.25,29.02,27.15,30.13,31.16,29.53
1904,27.28,30.08,26.28,27.99,25.52,30.62,27.64,22.76,31.24,28.87,27.14,30.13,31.16,29.45
1905,27.39,30.75,26.28,28.15,25.69,30.77,27.72,22.77,31.24,29.05,27.14,30.13,31.16,29.51
1906,27.27,30.14,26.28,27.98,25.49,30.60,27.63,22.76,31.22,28.85,27.13,30.12,31.16,29.45
1907,27.24,29.86,26.28,27.95,25.48,30.51,27.61,22.76,31.23,28.78,27.13,30.12,31.16,29.41
1908,27.34,30.58,26.28,28.08,25.58,30.73,27.69,22.76,31.24,28.98,27.14,30.13,31.16,29.50
1909,27.36,30.27,26.28,28.12,25.80,30.61,27.68,22.77,31.24,28.91,27.14,30.13,31.16,29.45
1910,27.33,29.95,26.28,28.09,25.76,30.55,27.66,22.77,31.25,28.86,27.15,30.13,31.16,29.43
1911,27.37,29.97,26.28,28.16,25.84,30.55,27.70,22.78,31.26,28.91,27.15,30.13,31.16,29.43
1912,27.44,30.68,26.28,28.23,25.88,30.75,27.75,22.77,31.25,29.06,27.14,30.13,31.16,29.51
1913,27.45,30.87,26.28,28.22,25.87,30.80,27.74,22.77,31.25,29.09,27.15,30.13,31.16,29.53
1914,27.47,31.09,26.28,28.28,25.90,30.82,27.77,22.76,31.24,29.14,27.13,30.13,31.16,29.54
1915,27.42,30.64,26.28,28.22,25.89,30.66,27.73,22.77,31.24,29.00,27.14,30.13,31.16,29.47
1916,27.42,30.76,26.28,28.20,25.84,30.73,27.73,22.76,31.24,29.03,27.13,30.13,31.16,29.50
1917,27.34,30.71,26.28,28.01,25.66,30.72,27.62,22.77,31.25,28.89,27.14,30.13,31.16,29.48
1918,27.24,29.64,26.28,28.13,25.82,30.01,27.68,22.76,31.04,28.67,27.14,30.08,30.92,29.12
1919,27.39,30.00,26.28,28.33,26.03,30.28,27.78,22.76,31.11,28.92,27.14,30.10,31.00,29.28
1920,27.43,30.61,26.28,28.24,25.94,30.65,27.76,22.77,31.24,29.02,27.14,30.13,31.15,29.46
1921,27.32,30.37,26.28,28.02,25.60,30.66,27.67,22.77,31.27,28.89,27.14,30.14,31.19,29.47
1922,27.59,31.29,26.29,28.37,25.98,31.20,27.85,22.77,31.39,29.36,27.15,30.18,31.33,29.76
