Variable:,tasmax
,Canada,Alberta,"British Columbia / Colombie-Britannique",Manitoba,"New Brunswick / Nouveau-Brunswick","Newfoundland and Labrador / Terre-Neuve-et-Labrador","Northwest Territories / Territoires du Nord-Ouest","Nova Scotia / Nouvelle-Écosse",Nunavut,Ontario,"Prince Edward Island / Île-du-Prince-Édouard","Quebec / Québec",Saskatchewan,Yukon
1964,-0.78,6.19,5.32,2.85,9.13,2.19,-5.48,10.09,-11.65,6.11,9.30,1.80,5.41,-2.58
1965,-0.88,5.62,6.01,2.03,8.73,2.21,-5.15,9.94,-11.07,5.22,9.07,1.14,4.33,-2.03
1966,-0.61,5.35,5.45,2.00,10.03,3.86,-5.59,11.17,-10.77,5.50,10.55,2.94,4.44,-3.13
1967,-0.50,6.61,6.62,2.46,8.81,3.13,-4.67,10.24,-11.46,5.42,9.36,1.69,5.19,-1.26
1968,-0.22,6.27,5.66,2.86,9.22,2.96,-4.62,10.57,-10.52,5.94,9.67,2.44,5.53,-1.66
1969,0.01,6.06,5.91,2.82,9.67,3.80,-4.22,11.10,-9.90,6.06,10.37,2.51,5.05,-1.55
1970,-0.49,6.17,5.92,2.32,9.16,3.34,-4.76,10.29,-11.05,5.77,9.42,1.96,4.74,-1.66
1971,-0.31,6.37,5.49,3.08,9.23,3.10,-4.68,10.61,-10.56,6.12,9.66,2.14,5.40,-2.75
1972,-2.05,4.82,4.85,1.15,8.17,1.10,-5.94,9.77,-13.38,4.64,8.80,0.10,3.81,-3.09
1973,0.38,6.61,5.63,3.98,9.84,3.72,-3.52,11.04,-9.89,6.90,10.22,2.94,6.17,-2.23
1974,-0.90,6.39,6.18,2.29,8.67,2.05,-5.67,10.09,-11.50,5.30,9.20,1.16,5.11,-2.14
1975,-0.36,5.98,5.40,2.91,9.46,2.68,-4.84,10.63,-10.73,6.61,9.85,2.43,4.95,-2.55
1976,0.02,8.01,6.32,3.74,8.96,2.69,-3.54,10.94,-11.02,5.79,10.16,1.29,6.77,-0.20
1977,0.68,7.49,6.45,4.27,9.28,3.69,-3.54,10.69,-9.46,6.57,9.92,2.85,6.52,-0.49
1978,-0.67,6.28,6.34,2.36,8.98,2.36,-4.33,10.24,-11.93,5.28,9.26,1.25,5.00,-0.03
1979,-0.45,6.29,6.26,1.72,9.82,3.99,-4.47,11.07,-11.43,5.18,10.36,2.49,4.68,-0.97
1980,0.18,7.34,6.46,3.47,8.71,2.81,-3.81,9.98,-9.94,5.76,9.00,1.91,6.39,-0.96
1981,1.58,8.90,7.46,5.07,10.00,4.57,-2.31,11.26,-8.75,7.04,10.51,3.47,7.86,0.76
