Variable:,tasmin
,Armenia,Aragatsotn,Ararat,Armavir,Gergharkunik,Kotayk,Lori,Shirak,Syunik,Tavush,"Vayots Dzor",Yerevan
1901,1.02,1.02,3.28,2.35,-0.48,0.37,0.14,-1.36,2.21,2.14,2.23,1.82
1902,0.12,0.08,2.37,1.40,-1.34,-0.53,-0.80,-2.32,1.37,1.26,1.35,0.91
1903,0.32,0.43,2.57,1.77,-1.25,-0.30,-0.50,-1.93,1.41,1.44,1.44,1.18
1904,0.03,0.13,2.30,1.47,-1.54,-0.56,-0.83,-2.27,1.15,1.13,1.16,0.91
1905,0.62,0.74,2.92,2.10,-0.96,0.02,-0.27,-1.68,1.76,1.69,1.76,1.52
1906,0.52,0.65,2.79,1.99,-1.07,-0.09,-0.27,-1.71,1.56,1.69,1.57,1.39
1907,-0.17,-0.10,2.11,1.24,-1.70,-0.78,-1.07,-2.50,1.02,0.91,1.02,0.69
1908,-0.24,-0.17,2.08,1.18,-1.81,-0.82,-1.09,-2.56,0.88,0.86,0.91,0.64
1909,1.36,1.35,3.67,2.71,-0.17,0.72,0.35,-1.11,2.72,2.39,2.66,2.19
1910,1.30,1.24,3.61,2.59,-0.20,0.66,0.28,-1.24,2.69,2.35,2.62,2.10
1911,-0.80,-0.81,1.51,0.54,-2.30,-1.43,-1.75,-3.27,0.45,0.30,0.45,0.02
1912,0.51,0.47,2.81,1.81,-0.95,-0.07,-0.42,-1.95,1.73,1.66,1.73,1.36
1913,-0.29,-0.30,1.98,1.04,-1.80,-0.94,-1.22,-2.73,1.00,0.82,0.96,0.51
1914,0.67,0.73,2.99,2.08,-0.87,0.08,-0.23,-1.68,1.85,1.75,1.86,1.54
1915,1.02,1.09,3.30,2.44,-0.53,0.39,0.12,-1.30,2.19,2.13,2.17,1.86
1916,0.88,0.99,3.17,2.34,-0.69,0.29,0.02,-1.41,1.96,2.01,1.99,1.77
1917,0.86,0.90,3.13,2.25,-0.67,0.27,-0.04,-1.49,2.05,1.97,2.03,1.73
1918,0.70,0.83,2.95,2.18,-0.86,0.13,-0.17,-1.56,1.80,1.79,1.84,1.62
1919,1.18,1.23,3.49,2.59,-0.34,0.55,0.21,-1.21,2.45,2.22,2.42,2.03
1920,-0.48,-0.40,1.79,0.97,-2.02,-1.11,-1.41,-2.79,0.71,0.59,0.70,0.37
1921,-0.07,-0.04,2.24,1.31,-1.59,-0.72,-1.03,-2.48,1.18,1.00,1.15,0.75
1922,0.81,0.91,3.09,2.27,-0.75,0.20,-0.09,-1.48,1.95,1.91,1.93,1.69
1923,1.04,1.19,3.34,2.54,-0.56,0.45,0.18,-1.21,2.13,2.13,2.13,1.95
1924,0.78,0.84,3.09,2.19,-0.75,0.22,-0.11,-1.58,1.94,1.90,1.94,1.68
1925,0.38,0.44,2.64,1.78,-1.16,-0.23,-0.51,-1.93,1.54,1.48,1.53,1.22
1926,0.37,0.47,2.69,1.82,-1.19,-0.20,-0.48,-1.92,1.47,1.46,1.48,1.27
1927,0.57,0.64,2.88,1.99,-0.97,-0.03,-0.34,-1.77,1.75,1.65,1.75,1.44
1928,-0.53,-0.47,1.80,0.89,-2.06,-1.15,-1.46,-2.85,0.64,0.55,0.67,0.33
1929,-0.21,-0.10,2.08,1.27,-1.76,-0.82,-1.13,-2.53,0.98,0.84,0.94,0.65
1930,0.85,0.98,3.17,2.37,-0.73,0.24,-0.09,-1.39,2.00,1.89,1.99,1.74
1931,-0.06,0.04,2.26,1.41,-1.61,-0.67,-0.99,-2.39,1.12,0.96,1.10,0.80
1932,-0.23,-0.17,2.07,1.21,-1.75,-0.91,-1.20,-2.59,1.00,0.82,0.96,0.56
1933,-0.54,-0.57,1.79,0.78,-2.02,-1.22,-1.53,-2.94,0.75,0.52,0.73,0.25
1934,-0.17,-0.08,2.13,1.28,-1.72,-0.78,-1.10,-2.44,1.02,0.88,0.99,0.70
1935,0.60,0.69,2.87,2.07,-0.92,-0.03,-0.36,-1.76,1.79,1.66,1.79,1.45
1936,0.48,0.56,2.81,1.91,-1.06,-0.13,-0.44,-1.83,1.67,1.52,1.65,1.36
1937,0.90,1.00,3.23,2.35,-0.65,0.33,0.01,-1.38,2.01,1.98,2.02,1.80
1938,0.58,0.59,2.86,1.93,-0.95,-0.07,-0.37,-1.77,1.85,1.65,1.78,1.39
1939,0.70,0.80,3.09,2.15,-0.89,0.11,-0.23,-1.61,1.90,1.69,1.91,1.60
1940,0.82,0.93,3.19,2.30,-0.78,0.21,-0.12,-1.46,2.01,1.79,2.03,1.72
1941,0.06,0.17,2.48,1.53,-1.53,-0.54,-0.89,-2.23,1.25,1.03,1.25,0.97
1942,0.19,0.29,2.59,1.64,-1.41,-0.40,-0.75,-2.11,1.40,1.15,1.41,1.10
1943,0.09,0.17,2.44,1.54,-1.46,-0.54,-0.86,-2.22,1.27,1.13,1.28,0.96
1944,0.57,0.60,2.91,1.95,-0.98,-0.04,-0.37,-1.79,1.83,1.61,1.76,1.42
1945,-0.92,-0.79,1.50,0.58,-2.52,-1.52,-1.89,-3.21,0.28,0.03,0.29,-0.00
1946,-0.14,-0.00,2.26,1.38,-1.74,-0.76,-1.10,-2.38,1.05,0.83,1.07,0.76
1947,0.68,0.88,3.08,2.25,-0.96,0.12,-0.24,-1.53,1.79,1.64,1.82,1.66
1948,-0.11,-0.08,2.20,1.28,-1.65,-0.76,-1.06,-2.40,1.14,0.94,1.11,0.72
1949,-0.60,-0.50,1.76,0.87,-2.18,-1.20,-1.53,-2.90,0.61,0.42,0.58,0.30
1950,-0.35,-0.24,2.00,1.12,-1.92,-0.95,-1.28,-2.63,0.84,0.67,0.78,0.55
1951,0.30,0.43,2.63,1.84,-1.23,-0.34,-0.71,-2.07,1.53,1.29,1.53,1.21
1952,0.63,0.74,2.94,2.15,-0.88,-0.01,-0.39,-1.76,1.90,1.62,1.85,1.52
1953,0.05,0.12,2.39,1.52,-1.43,-0.59,-1.01,-2.38,1.35,1.01,1.29,0.95
1954,0.56,0.72,2.92,2.13,-1.02,-0.06,-0.46,-1.79,1.80,1.46,1.82,1.48
1955,1.32,1.46,3.65,2.85,-0.25,0.71,0.35,-0.99,2.53,2.28,2.54,2.24
1956,-1.02,-0.94,1.35,0.46,-2.54,-1.67,-2.08,-3.44,0.29,-0.06,0.29,-0.13
1957,0.50,0.59,2.83,1.99,-1.05,-0.11,-0.49,-1.85,1.78,1.43,1.73,1.40
1958,0.22,0.27,2.49,1.62,-1.32,-0.46,-0.73,-2.13,1.50,1.28,1.47,1.03
1959,-0.44,-0.30,1.86,1.08,-2.04,-1.10,-1.39,-2.73,0.77,0.56,0.78,0.44
1960,0.65,0.77,2.96,2.13,-0.96,0.03,-0.28,-1.64,1.83,1.68,1.87,1.52
1961,0.76,0.66,3.04,2.00,-0.68,0.04,-0.27,-1.79,2.22,1.80,2.09,1.50
1962,1.58,1.62,3.86,2.98,0.09,0.95,0.60,-0.83,2.84,2.63,2.82,2.43
1963,1.36,1.43,3.72,2.78,-0.09,0.85,0.32,-1.07,2.53,2.32,2.68,2.33
1964,-0.62,-0.80,1.60,0.49,-1.99,-1.21,-1.63,-3.20,0.74,0.52,0.75,0.15
1965,0.13,0.16,2.50,1.54,-1.36,-0.43,-0.92,-2.36,1.40,1.14,1.46,1.04
1966,2.46,2.51,4.79,3.89,0.98,1.84,1.51,0.04,3.63,3.57,3.73,3.32
1967,0.07,-0.00,2.39,1.37,-1.42,-0.58,-0.93,-2.44,1.36,1.28,1.33,0.86
1968,0.75,0.73,2.99,2.07,-0.69,0.09,-0.16,-1.77,1.96,1.95,1.94,1.53
1969,0.35,0.43,2.73,1.80,-1.09,-0.28,-0.69,-2.18,1.62,1.25,1.69,1.21
