Variable:,pr
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
1943,482.19,58.13,826.24,60.44,1021.77,795.85,168.58,494.99,682.11,636.51,376.95,1197.79,31.02,93.09,1270.19,297.66
1944,647.52,76.32,1184.99,74.90,1261.53,1012.99,322.88,746.00,614.22,846.90,670.12,1968.02,76.35,234.91,1938.93,602.38
1945,673.63,63.87,1286.73,45.83,1601.86,1041.29,69.01,379.41,778.78,670.68,246.35,2183.24,24.90,68.71,2045.91,186.13
1946,575.81,52.30,1106.11,54.65,1351.54,903.95,159.09,371.44,701.87,594.37,242.76,1705.15,27.45,87.11,1613.57,214.42
1947,551.12,61.24,1113.67,47.50,1253.29,868.24,134.58,496.24,769.84,594.15,366.00,1339.71,30.58,86.30,1526.65,319.65
1948,585.16,59.79,1154.25,53.27,1202.58,1040.53,195.03,740.14,671.75,889.06,551.32,1463.85,33.32,97.31,1619.42,475.66
1949,616.75,76.17,1172.67,57.07,1360.95,892.96,197.16,518.37,796.37,621.02,433.62,1732.07,43.53,105.70,1760.13,345.00
1950,656.74,59.19,1427.14,48.75,1175.73,1306.50,197.41,686.81,809.48,981.76,503.07,1822.35,18.86,48.23,2018.46,419.68
1951,618.75,52.59,1382.04,37.03,1198.99,1238.63,146.97,747.35,593.33,943.96,523.48,1780.27,31.62,99.22,1917.79,450.45
1952,446.79,50.42,817.12,61.49,824.30,728.93,270.97,564.68,650.85,594.45,475.60,1093.92,26.72,71.52,1128.84,410.99
1953,702.12,51.57,1447.87,52.75,1553.78,1339.52,229.00,864.23,618.67,970.05,773.06,1890.42,26.17,83.29,2044.67,629.69
1954,531.03,62.99,1315.17,41.82,935.27,1114.09,191.81,567.18,576.08,736.39,456.22,1397.47,33.47,107.89,1723.21,377.75
1955,537.55,62.16,820.31,39.54,1265.36,744.45,133.01,445.25,799.79,614.28,335.79,1423.75,51.92,157.13,1337.72,302.15
1956,481.60,52.00,938.89,42.42,922.03,855.51,122.17,560.73,718.63,696.00,405.34,1237.97,21.83,58.86,1250.73,276.51
1957,535.63,49.41,1097.30,45.10,1090.38,927.64,190.25,538.17,669.90,598.60,477.11,1470.95,24.97,75.75,1587.21,383.14
1958,565.46,52.27,1137.89,47.70,1203.92,1042.60,180.75,586.17,636.92,656.84,509.84,1558.00,36.28,101.82,1578.76,385.92
1959,572.16,54.02,1208.87,49.98,1188.45,1159.36,171.47,741.58,564.87,908.19,529.22,1480.39,23.57,89.66,1601.47,368.83
1960,494.31,56.08,1130.76,32.06,1061.16,887.90,72.08,434.09,525.24,571.10,339.83,1475.44,16.06,63.41,1484.06,276.24
1961,574.96,72.09,1334.18,58.07,1016.11,1029.61,261.79,650.29,623.60,821.23,468.15,1620.97,32.78,90.32,1837.20,396.60
1962,446.71,38.16,805.90,46.58,1012.77,592.28,104.04,392.80,583.39,393.93,369.92,1327.32,41.04,151.10,1238.16,301.61
1963,651.25,64.57,1245.14,67.19,1421.81,1154.73,286.14,861.87,678.61,921.32,681.07,1542.82,38.94,126.36,1818.92,551.22
1964,485.15,33.54,957.67,37.65,1125.96,691.59,110.27,370.79,531.68,453.77,258.47,1594.24,24.37,92.26,1513.04,210.33
1965,704.59,39.80,1403.83,81.93,1445.78,1281.25,364.12,952.65,710.39,1079.86,676.39,1866.13,14.88,48.74,1924.06,607.73
1966,603.62,30.81,1162.96,37.90,1283.45,1067.46,211.40,773.88,618.40,871.33,505.62,1753.59,10.71,46.70,1763.92,449.90
1967,551.78,45.33,1087.62,38.16,1274.99,827.29,137.68,401.32,628.54,517.09,244.14,1739.84,33.68,105.66,1722.09,233.62
1968,476.14,78.23,886.58,21.41,1196.58,618.14,52.97,194.83,601.21,330.99,120.59,1485.76,44.64,124.18,1459.74,105.72
1969,585.37,37.81,1173.66,36.01,1267.33,1057.95,54.10,546.92,673.81,704.58,324.20,1756.40,32.37,85.91,1930.72,215.03
1970,565.19,47.43,1067.90,28.00,1235.01,847.66,106.01,512.82,663.99,645.47,377.21,1821.61,26.09,68.57,1711.04,356.55
1971,588.95,62.36,1106.36,42.55,1276.81,967.88,121.81,501.68,693.27,655.10,340.78,1797.72,51.19,143.01,1778.49,240.29
