Variable:,tasmax
,Tonga,"Administrative unit not available"
1901,26.79,27.09
1902,26.80,27.11
1903,26.74,27.01
1904,26.67,26.89
1905,26.68,26.92
1906,26.81,27.10
1907,26.68,26.90
1908,26.69,26.94
1909,26.63,26.81
1910,26.75,27.05
1911,26.91,27.31
1912,26.94,27.39
1913,26.93,27.35
1914,26.97,27.39
1915,26.78,27.09
1916,26.72,26.97
1917,26.68,26.93
1918,26.79,27.11
1919,26.96,27.39
1920,27.01,27.51
1921,27.14,27.48
1922,27.31,27.66
1923,26.78,27.20
1924,27.28,27.72
1925,26.92,27.31
1926,26.97,27.41
1927,27.11,27.54
1928,26.88,27.29
1929,26.67,27.06
1930,26.65,27.06
1931,26.78,27.15
1932,27.03,27.43
1933,27.08,27.47
1934,26.98,27.35
1935,27.22,27.58
1936,27.00,27.39
1937,26.96,27.36
1938,27.37,27.77
1939,26.91,27.31
1940,26.80,27.27
1941,26.98,27.46
1942,26.93,27.31
1943,26.98,27.41
1944,26.98,27.36
1945,26.94,27.32
1946,27.20,27.55
1947,27.22,27.59
1948,26.71,27.15
1949,27.10,27.47
1950,26.93,27.29
1951,26.90,27.26
1952,27.15,27.57
1953,27.06,27.43
1954,27.22,27.51
1955,27.07,27.43
1956,27.00,27.36
1957,26.90,27.30
1958,26.78,27.19
1959,26.87,27.26
1960,26.89,27.28
1961,26.75,27.14
1962,26.63,27.01
1963,26.56,26.99
1964,26.73,27.12
1965,26.25,26.69
1966,26.65,27.06
1967,26.54,26.91
1968,27.03,27.41
1969,26.70,27.13
1970,26.70,27.11
1971,26.74,27.12
1972,26.39,26.85
1973,27.02,27.40
1974,26.93,27.30
1975,26.92,27.28
1976,27.09,27.46
1977,27.08,27.47
1978,26.93,27.32
1979,27.00,27.44
1980,26.88,27.31
1981,27.29,27.65
1982,26.81,27.22
1983,26.98,27.40
1984,27.32,27.69
1985,27.25,27.62
1986,26.93,27.34
1987,26.93,27.30
1988,27.32,27.64
1989,27.07,27.43
1990,27.18,27.55
1991,26.72,27.18
1992,26.53,27.01
1993,25.98,26.48
1994,26.41,26.89
1995,27.20,27.62
1996,27.33,27.76
1997,26.94,27.39
1998,27.49,27.84
1999,26.88,27.39
2000,27.36,27.80
2001,27.69,28.15
2002,27.09,27.59
2003,27.53,27.90
2004,27.41,27.78
2005,27.28,27.77
2006,27.06,27.54
2007,27.17,27.74
2008,27.09,27.57
2009,27.05,27.54
2010,27.10,27.62
2011,27.74,28.00
2012,27.09,27.52
2013,27.21,27.68
2014,27.41,27.77
2015,27.18,27.57
2016,27.81,28.14
2017,27.83,28.14
2018,27.11,27.58
2019,27.38,27.84
2020,27.67,28.04
