Variable:,tasmin
,Bermuda,"Administrative unit not available"
1901,16.62,16.62
1902,16.65,16.65
1903,16.67,16.67
1904,16.60,16.60
1905,16.66,16.66
1906,16.73,16.73
1907,16.68,16.68
1908,16.74,16.74
1909,16.73,16.73
1910,16.72,16.72
1911,16.73,16.73
1912,16.73,16.73
1913,16.76,16.76
1914,16.68,16.68
1915,16.70,16.70
1916,16.71,16.71
1917,16.64,16.64
1918,16.68,16.68
1919,16.73,16.73
1920,16.65,16.65
1921,16.77,16.77
1922,16.74,16.74
1923,16.72,16.72
1924,16.68,16.68
1925,16.77,16.77
1926,16.71,16.71
1927,16.73,16.73
1928,16.73,16.73
1929,16.76,16.76
1930,16.74,16.74
1931,16.28,16.28
1932,16.35,16.35
1933,16.64,16.64
1934,16.51,16.51
1935,16.08,16.08
1936,16.53,16.53
1937,16.72,16.72
1938,16.79,16.79
1939,16.48,16.48
1940,15.47,15.47
1941,16.01,16.01
1942,16.47,16.47
1943,16.53,16.53
1944,16.38,16.38
1945,16.72,16.72
1946,16.73,16.73
1947,16.78,16.78
1948,16.63,16.63
1949,16.91,16.91
1950,16.68,16.68
1951,17.07,17.07
1952,17.13,17.13
1953,17.39,17.39
1954,17.22,17.22
1955,16.62,16.62
1956,17.11,17.11
1957,16.79,16.79
1958,16.58,16.58
1959,17.25,17.25
1960,16.88,16.88
1961,16.96,16.96
1962,16.90,16.90
1963,16.63,16.63
1964,16.67,16.67
1965,16.46,16.46
1966,16.77,16.77
1967,16.58,16.58
1968,16.49,16.49
1969,16.64,16.64
1970,16.23,16.23
1971,16.83,16.83
1972,16.90,16.90
1973,16.54,16.54
1974,17.11,17.11
1975,17.29,17.29
1976,16.89,16.89
1977,16.45,16.45
1978,16.72,16.72
1979,16.55,16.55
1980,16.62,16.62
1981,15.68,15.68
1982,17.03,17.03
1983,16.48,16.48
1984,16.52,16.52
1985,16.28,16.28
1986,16.65,16.65
1987,16.33,16.33
1988,16.78,16.78
1989,17.23,17.23
1990,17.15,17.15
1991,17.59,17.59
1992,16.95,16.95
1993,16.95,16.95
1994,16.96,16.96
1995,16.82,16.82
1996,16.98,16.98
1997,16.66,16.66
1998,16.36,16.36
1999,16.02,16.02
2000,16.24,16.24
2001,16.36,16.36
2002,16.41,16.41
2003,16.28,16.28
2004,16.41,16.41
2005,16.63,16.63
2006,16.73,16.73
2007,16.72,16.72
2008,16.75,16.75
2009,16.93,16.93
2010,16.41,16.41
2011,17.05,17.05
2012,17.13,17.13
2013,16.73,16.73
2014,17.23,17.23
2015,17.48,17.48
2016,17.63,17.63
2017,17.49,17.49
2018,17.59,17.59
2019,17.53,17.53
2020,17.36,17.36
