Variable:,pr
,"Congo (Republic of the)",Bouenza,Cuvette,Cuvette-Ouest,Lekoumou,Likouala,Niari,Plateaux,Sangha,Pool,Brazzaville,Kouilou,Point-Noire
1946,1575.80,1315.52,1581.79,1644.23,1615.89,1603.98,1435.63,1782.25,1552.75,1583.75,1429.50,1177.30,1101.29
1947,1704.17,1502.98,1669.05,1763.38,1817.63,1615.46,1806.68,1959.75,1622.38,1676.39,1479.00,1580.49,1459.52
1948,1640.83,1365.65,1565.69,1738.81,1617.61,1778.16,1452.84,1722.12,1759.96,1531.55,1356.30,1203.01,1128.53
1949,1677.41,1483.53,1607.68,1750.02,1806.74,1605.30,1722.13,1898.01,1664.94,1635.67,1434.80,1477.41,1349.47
1950,1641.63,1540.47,1533.61,1641.20,1674.13,1678.88,1711.58,1729.77,1615.72,1626.79,1535.90,1629.63,1567.02
1951,1641.89,1375.44,1683.99,1764.19,1644.20,1581.29,1506.87,1941.94,1626.53,1623.58,1466.30,1229.99,1088.19
1952,1741.97,1475.89,1740.38,1885.80,1789.88,1739.90,1717.62,1827.53,1835.55,1552.36,1394.70,1488.03,1373.43
1953,1496.78,1090.84,1519.04,1675.16,1452.68,1533.00,1280.64,1729.76,1553.92,1445.71,1308.00,901.80,749.36
1954,1619.45,1209.42,1702.72,1735.65,1498.81,1688.31,1493.11,1777.88,1663.23,1465.95,1342.70,1320.65,1198.44
1955,1756.49,1511.36,1726.00,1832.44,1768.91,1826.89,1640.71,1892.97,1791.77,1646.88,1496.30,1517.30,1454.48
1956,1478.62,1033.50,1498.07,1585.31,1239.56,1763.24,1167.06,1483.91,1670.38,1269.69,1191.80,931.05,827.94
1957,1646.43,1449.99,1623.83,1688.61,1545.93,1792.74,1567.05,1609.14,1761.33,1449.10,1353.00,1569.38,1576.30
1958,1329.59,796.69,1454.91,1538.27,1082.17,1591.70,929.71,1393.79,1496.17,1079.37,984.20,607.78,507.39
1959,1800.12,1477.79,1820.66,1958.16,1817.46,1827.21,1780.38,1967.06,1794.68,1589.70,1424.30,1635.89,1558.89
1960,1726.80,1511.86,1660.93,1790.69,1734.81,1801.41,1734.32,1814.81,1743.40,1566.95,1431.90,1714.01,1664.58
1961,1802.55,1717.89,1724.91,1767.49,1958.11,1750.50,1905.37,2024.35,1646.45,1904.66,1751.90,1769.14,1636.70
1962,1772.54,1475.91,1820.51,1923.70,1821.01,1679.97,1714.66,2038.13,1772.41,1656.74,1494.10,1520.97,1451.88
1963,1780.60,1457.21,1832.87,1999.18,1753.45,1752.70,1599.87,1939.83,1907.84,1625.35,1437.20,1309.75,1311.99
1964,1667.66,1406.20,1733.17,1826.95,1682.12,1674.93,1502.20,1792.00,1735.79,1563.83,1427.20,1193.21,1178.19
1965,1579.59,1186.78,1620.94,1650.27,1540.01,1670.11,1373.35,1865.86,1565.97,1508.19,1341.50,1063.03,987.61
1966,1834.26,1721.63,1793.86,1719.82,1975.15,1898.92,1921.65,1988.62,1721.03,1823.92,1676.10,1684.44,1612.28
1967,1540.26,1261.58,1629.47,1614.75,1529.98,1549.59,1478.63,1712.16,1550.77,1387.58,1232.80,1265.21,1112.47
1968,1618.02,1204.18,1699.93,1740.80,1543.55,1644.63,1421.82,1862.12,1636.55,1527.09,1384.80,1253.21,1105.07
1969,1741.94,1343.90,1829.24,1850.93,1587.89,1798.04,1474.61,1994.73,1780.97,1663.89,1545.60,1350.96,1287.62
1970,1713.99,1521.11,1700.35,1834.04,1839.12,1596.37,1784.97,1937.85,1645.18,1680.74,1508.10,1607.35,1413.03
1971,1582.28,1223.02,1628.13,1672.17,1507.39,1742.95,1340.50,1677.37,1693.23,1400.52,1256.70,1090.63,1072.63
1972,1436.32,1201.74,1417.76,1510.52,1476.51,1473.44,1346.55,1600.22,1451.41,1371.80,1249.00,1092.09,1049.49
1973,1594.67,1422.91,1540.21,1639.20,1712.76,1553.95,1558.22,1822.34,1545.87,1667.48,1553.90,1245.49,1151.50
1974,1605.77,1247.51,1681.59,1711.00,1562.58,1597.33,1405.37,1841.88,1656.94,1553.20,1408.50,1149.57,1008.00
1975,1644.80,1547.88,1577.24,1624.88,1769.53,1709.44,1679.74,1783.24,1548.92,1627.13,1466.10,1480.03,1417.05
1976,1657.02,1281.10,1711.14,1784.23,1626.13,1677.40,1588.93,1863.53,1641.64,1537.06,1361.00,1389.57,1292.58
1977,1675.09,1458.40,1612.13,1698.73,1792.15,1775.26,1687.99,1831.90,1599.40,1612.78,1434.60,1368.12,1233.98
1978,1455.81,914.14,1648.08,1614.59,1151.61,1685.62,1038.25,1576.74,1611.94,1192.27,1083.40,817.52,748.49
1979,1603.58,1212.96,1652.38,1675.19,1580.37,1734.63,1396.91,1840.28,1548.50,1559.69,1405.90,1102.98,994.43
1980,1715.90,1434.53,1709.89,1760.40,1714.44,1816.93,1550.12,1851.12,1751.07,1678.81,1582.70,1281.79,1163.53
1981,1661.04,1435.23,1688.82,1678.40,1669.27,1733.61,1575.85,1764.78,1668.77,1579.81,1406.20,1417.41,1310.71
1982,1613.49,1150.88,1750.01,1785.23,1506.90,1653.34,1305.52,1888.51,1676.63,1476.26,1297.20,1038.84,881.05
1983,1406.84,1276.07,1411.49,1408.05,1395.19,1472.97,1163.20,1569.49,1392.27,1470.62,1365.10,1093.80,1091.10
1984,1661.10,1389.09,1651.80,1896.57,1715.47,1601.26,1605.65,1873.34,1663.10,1562.25,1420.40,1327.50,1302.67
1985,1753.20,1455.95,1775.48,1883.41,1752.48,1673.07,1646.55,1975.54,1832.24,1710.80,1576.90,1348.69,1180.34
1986,1576.26,1331.37,1626.44,1690.70,1597.52,1514.00,1474.67,1818.48,1573.12,1518.03,1366.30,1274.27,1165.43
1987,1561.15,1434.89,1528.08,1616.98,1576.88,1562.26,1493.91,1683.57,1567.76,1545.06,1410.40,1414.04,1339.17
1988,1698.05,1364.29,1767.06,1876.36,1624.21,1702.20,1551.37,1846.91,1775.45,1591.95,1450.10,1260.22,1127.37
1989,1612.33,1566.09,1456.85,1575.76,1825.31,1590.19,1673.28,1716.72,1591.10,1679.12,1524.90,1507.26,1421.40
1990,1704.15,1503.09,1649.40,1732.03,1880.93,1613.04,1700.75,1984.40,1671.28,1730.61,1529.30,1394.70,1297.82
1991,1534.18,1257.53,1545.00,1608.37,1535.19,1605.70,1455.88,1681.19,1541.71,1433.76,1302.40,1188.29,1116.44
1992,1503.14,1220.33,1495.82,1604.89,1503.17,1563.21,1377.86,1628.62,1557.92,1415.84,1279.50,1132.98,1037.64
1993,1542.92,1251.00,1511.46,1635.88,1424.63,1648.38,1326.43,1600.92,1710.78,1464.39,1353.00,1124.24,1022.20
1994,1663.31,1579.63,1603.00,1660.64,1814.84,1605.42,1669.05,1874.23,1591.51,1749.27,1598.20,1421.38,1347.08
1995,1588.79,1483.60,1537.83,1621.19,1760.61,1463.95,1638.84,1880.07,1480.67,1655.16,1464.00,1423.07,1318.57
1996,1503.50,1244.32,1494.67,1664.22,1546.69,1459.01,1423.10,1686.99,1515.05,1460.70,1315.50,1222.78,1139.24
1997,1665.10,1490.97,1649.45,1742.60,1760.42,1641.30,1574.95,1870.50,1609.82,1720.12,1593.40,1318.15,1243.07
