Variable:,tasmax
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
1901,28.79,18.15,NaN,24.92,32.29,21.60,30.03,26.42,14.30,20.47,29.35
1902,29.00,18.32,NaN,25.39,32.49,21.78,30.71,26.56,14.16,20.60,29.21
1903,28.34,17.37,NaN,24.26,32.03,20.98,29.75,25.78,14.08,19.71,28.85
1904,28.26,17.38,NaN,24.31,31.63,20.89,29.52,25.79,14.32,19.88,28.92
1905,28.53,17.14,NaN,24.07,32.36,20.76,29.96,25.73,13.98,19.51,29.20
1906,29.13,17.52,NaN,24.49,33.27,21.13,30.12,26.66,14.39,19.99,29.88
1907,28.60,17.87,NaN,24.57,32.13,21.26,29.63,26.14,14.26,20.20,29.37
1908,28.14,17.40,NaN,24.19,31.63,20.87,29.24,25.95,14.45,20.16,28.71
1909,28.19,16.57,NaN,23.33,32.22,20.13,29.53,25.69,13.80,18.85,28.87
1910,28.63,17.39,NaN,24.01,32.45,20.65,29.62,26.27,14.48,19.78,29.48
1911,28.51,16.77,NaN,23.71,32.23,20.18,29.57,26.13,14.00,19.28,29.46
1912,29.07,17.56,NaN,24.59,32.60,20.98,30.42,26.46,14.27,19.75,29.91
1913,28.40,17.29,NaN,24.17,31.93,20.81,29.32,26.11,14.01,19.64,29.27
1914,29.25,18.48,NaN,25.39,32.63,21.74,29.99,27.29,14.60,21.08,30.04
1915,29.27,17.64,NaN,24.76,33.31,21.15,31.13,26.61,14.06,19.63,29.56
1916,28.46,16.72,NaN,23.58,32.45,20.20,29.55,25.87,13.56,19.15,29.36
1917,27.75,16.29,NaN,23.19,31.72,19.86,28.73,25.55,13.67,18.84,28.43
1918,28.51,16.91,NaN,23.97,32.02,20.36,29.35,26.31,14.21,19.58,29.53
1919,29.01,18.36,NaN,25.41,32.12,21.74,30.17,26.87,14.38,20.61,29.66
1920,28.30,16.96,NaN,23.58,31.98,20.18,29.13,25.96,14.02,19.59,29.32
1921,28.58,17.54,NaN,24.19,31.88,20.87,29.14,26.63,14.68,20.32,29.70
1922,28.71,17.74,NaN,24.75,32.07,21.16,29.96,26.43,14.25,19.95,29.36
1923,28.82,17.42,NaN,24.62,32.17,20.98,30.15,26.63,13.87,19.65,29.50
1924,28.32,16.55,NaN,23.26,31.96,20.19,29.37,25.64,13.48,18.48,29.57
1925,28.26,16.81,NaN,23.53,31.82,20.23,29.41,26.09,13.74,19.38,29.09
1926,29.05,17.45,NaN,24.22,32.85,21.01,30.78,26.42,14.37,19.86,29.60
1927,28.66,17.12,NaN,24.00,32.56,20.50,29.76,26.27,13.86,19.83,29.40
1928,29.17,17.60,NaN,24.50,33.15,21.30,30.26,26.92,14.58,19.81,29.88
1929,28.35,16.96,NaN,23.92,32.04,20.63,29.75,25.77,13.66,19.08,29.04
1930,28.73,17.40,NaN,24.12,32.28,20.95,29.25,26.94,14.57,20.18,29.77
1931,28.36,16.83,NaN,23.41,32.63,20.57,30.20,25.55,13.67,18.85,28.72
1932,28.68,17.25,NaN,24.08,32.33,20.92,30.11,25.84,14.05,19.17,29.56
1933,28.43,17.08,NaN,23.93,32.07,20.42,29.45,25.97,13.79,19.43,29.37
1934,28.49,17.02,NaN,23.82,32.28,20.46,29.50,26.62,14.73,19.93,29.10
1935,28.61,16.96,NaN,23.97,32.46,20.59,30.34,25.94,13.98,19.29,29.10
1936,28.86,16.91,NaN,23.95,32.56,20.69,29.85,26.19,14.03,19.37,30.03
1937,28.80,17.36,NaN,24.29,32.48,20.72,30.08,26.25,14.05,19.86,29.56
1938,29.18,18.09,NaN,24.97,32.69,21.50,30.47,26.55,14.32,20.47,29.96
1939,28.38,17.38,NaN,24.04,31.76,21.08,29.34,26.23,14.24,19.63,29.28
1940,29.04,18.11,NaN,25.24,32.11,21.82,30.11,26.64,14.15,20.20,29.99
1941,28.28,17.14,NaN,23.96,31.61,20.92,29.20,25.88,13.98,19.43,29.35
1942,28.84,17.47,NaN,24.33,33.22,21.17,30.65,26.44,14.12,19.84,28.81
1943,28.42,16.13,NaN,23.51,32.33,19.68,30.09,25.85,13.63,18.97,28.99
1944,28.78,17.71,NaN,24.51,32.06,21.28,29.83,26.46,13.69,19.55,29.77
1945,28.61,17.17,NaN,24.16,32.06,20.76,30.03,25.88,13.75,19.39,29.49
1946,28.51,17.16,NaN,24.22,32.04,21.11,30.28,25.73,13.26,18.77,29.13
1947,28.40,16.99,NaN,23.61,32.11,20.69,29.70,26.16,14.45,19.48,29.09
1948,28.61,16.52,NaN,23.65,32.17,20.13,30.11,26.15,13.72,18.99,29.45
1949,27.96,16.37,NaN,23.21,31.22,20.04,29.14,25.24,13.50,18.53,29.20
1950,28.00,16.73,NaN,23.29,31.06,20.33,28.45,26.02,14.49,19.66,29.43
1951,28.56,17.03,NaN,23.98,32.21,20.67,29.91,26.54,14.45,19.62,29.09
1952,28.42,16.54,NaN,23.48,32.39,20.36,30.26,25.46,13.97,18.80,28.99
1953,28.50,16.84,NaN,23.95,31.91,20.69,29.80,26.29,14.12,19.53,29.26
1954,28.39,17.03,NaN,23.70,31.96,20.74,29.18,26.04,14.44,19.66,29.48
1955,28.01,16.59,NaN,23.25,32.03,20.42,29.31,25.68,14.19,19.16,28.54
1956,27.64,15.76,NaN,22.28,31.31,19.75,28.54,25.18,14.11,18.65,28.89
1957,29.11,17.83,NaN,24.82,32.45,21.28,30.27,26.94,14.33,19.92,29.94
1958,28.84,16.89,NaN,23.89,32.95,20.72,30.45,25.86,14.11,19.30,29.50
1959,29.00,17.30,NaN,24.11,32.71,20.60,29.71,26.93,14.95,20.38,30.04
1960,28.08,16.50,NaN,23.39,32.01,20.14,29.41,25.73,14.58,19.18,28.61
1961,29.10,17.18,NaN,24.15,32.80,20.41,29.81,27.17,15.47,20.79,30.06
1962,28.77,16.79,NaN,23.59,32.47,20.23,29.87,26.49,14.68,19.91,29.74
1963,28.48,17.10,NaN,23.50,32.40,20.08,29.46,26.44,14.58,19.78,29.22
1964,28.54,16.73,NaN,23.55,32.44,20.59,30.06,25.89,13.67,19.05,29.29
1965,29.13,17.72,NaN,24.75,32.67,20.88,30.26,27.20,14.43,20.15,29.80
1966,28.20,16.65,NaN,23.44,31.78,20.21,29.57,25.77,14.58,19.44,28.94
1967,28.70,17.88,NaN,24.31,32.06,20.58,29.80,26.64,14.80,20.45,29.44
1968,28.10,17.17,NaN,23.67,31.75,20.82,29.61,25.99,14.24,19.75,28.46
1969,28.85,16.85,NaN,23.68,32.41,20.28,30.27,26.29,14.49,19.58,29.83
1970,28.77,16.41,NaN,23.49,32.66,20.13,30.00,26.23,14.30,19.20,29.74
1971,28.39,16.69,NaN,23.43,32.19,20.26,29.67,26.24,14.72,19.62,29.05
1972,29.13,17.43,NaN,24.36,32.56,20.50,29.90,27.03,15.48,20.44,30.23
1973,28.72,17.28,NaN,24.14,32.43,20.91,30.04,26.58,14.87,19.74,29.28
1974,27.67,16.26,NaN,22.99,30.68,19.87,28.94,25.50,14.80,19.37,28.59
1975,28.37,17.03,NaN,24.04,31.70,20.65,29.57,26.41,14.59,19.98,29.01
1976,28.18,16.52,NaN,23.29,31.29,20.13,29.11,25.80,14.39,19.66,29.50
1977,28.81,17.51,NaN,24.50,31.48,21.03,29.56,26.94,14.65,20.06,30.12
1978,28.16,16.62,NaN,23.19,31.54,20.22,29.29,25.72,14.49,19.49,29.25
1979,29.00,17.80,NaN,24.72,32.27,21.15,30.18,26.69,14.94,20.16,29.87
1980,29.47,18.17,NaN,25.21,32.96,21.79,30.76,27.41,15.10,20.52,30.06
1981,28.78,17.47,NaN,24.31,32.12,20.73,29.84,26.73,15.29,20.34,29.59
1982,28.91,18.30,NaN,24.98,31.78,21.31,30.15,27.05,15.29,20.85,29.59
1983,28.80,17.16,NaN,23.80,32.15,20.55,29.86,26.57,14.68,19.69,29.94
1984,28.14,16.52,NaN,23.32,31.46,20.13,29.31,25.85,14.58,19.38,29.14
1985,28.84,17.09,NaN,23.95,32.32,20.45,29.86,26.37,14.76,19.85,29.96
1986,28.75,16.83,NaN,24.03,32.47,20.48,30.36,26.23,14.36,19.19,29.38
1987,28.69,17.30,NaN,24.07,31.95,20.73,30.09,26.25,14.84,19.77,29.56
1988,29.25,17.88,NaN,24.47,32.78,21.21,30.49,26.93,15.69,20.55,30.06
1989,28.35,16.76,NaN,23.58,31.76,20.23,29.25,25.89,15.32,19.71,29.49
1990,28.98,17.44,NaN,24.20,32.73,20.68,29.92,26.84,15.23,20.28,29.81
1991,29.36,17.77,NaN,24.91,32.51,21.22,30.39,27.29,14.89,20.12,30.39
1992,28.45,16.10,NaN,23.35,32.39,19.76,30.15,25.67,14.38,18.92,29.11
1993,28.72,17.34,NaN,24.30,31.89,20.84,30.20,26.73,15.28,19.84,29.33
1994,29.26,17.73,NaN,24.72,32.28,21.14,30.07,27.03,14.86,20.07,30.59
1995,28.50,16.56,NaN,23.74,31.93,20.10,30.15,26.18,14.16,19.15,29.16
1996,29.07,16.70,NaN,23.82,32.70,20.23,30.28,26.70,14.06,19.11,30.17
1997,28.70,17.95,NaN,24.84,31.73,21.08,29.84,26.60,15.04,20.39,29.44
1998,29.13,17.71,NaN,24.28,32.68,21.18,30.31,26.56,15.14,19.98,30.16
1999,28.73,17.48,NaN,24.18,32.05,20.66,29.69,26.94,15.49,20.40,29.53
