Variable:,tasmax
,"Gambia, The","Central River","Lower River","North Bank","Upper River","West Coast","Kanifing Municipal Council"
2002,35.02,35.95,34.71,34.78,35.69,33.68,33.06
2003,34.84,35.74,34.50,34.59,35.60,33.48,32.85
2004,35.10,36.02,34.78,34.84,35.80,33.73,33.11
2005,35.29,36.18,34.99,35.07,35.91,33.98,33.38
2006,35.03,35.97,34.69,34.76,35.76,33.65,33.03
2007,35.12,36.08,34.80,34.85,35.86,33.73,33.08
2008,35.09,36.02,34.78,34.84,35.75,33.74,33.11
2009,34.67,35.61,34.34,34.40,35.41,33.28,32.63
2010,35.46,36.40,35.13,35.19,36.17,34.08,33.44
2011,35.07,36.01,34.75,34.77,35.88,33.64,32.96
2012,34.84,35.76,34.55,34.61,35.50,33.49,32.85
2013,34.93,35.88,34.63,34.68,35.63,33.56,32.92
2014,34.87,35.83,34.54,34.58,35.64,33.45,32.80
2015,35.09,36.09,34.74,34.79,35.88,33.64,32.98
2016,35.29,36.24,34.93,34.99,36.12,33.87,33.25
2017,35.48,36.43,35.14,35.20,36.22,34.09,33.48
2018,34.79,35.73,34.43,34.47,35.67,33.36,32.74
2019,34.90,35.83,34.57,34.63,35.66,33.53,32.92
2020,35.69,36.64,35.34,35.43,36.42,34.32,33.71
