Variable:,tasmax
,"British Indian Ocean Territory","Administrative unit not available"
1901,29.88,29.88
1902,29.88,29.88
1903,29.88,29.88
1904,29.88,29.88
1905,29.88,29.88
1906,29.88,29.88
1907,29.88,29.88
1908,29.88,29.88
1909,29.88,29.88
1910,29.88,29.88
1911,29.88,29.88
1912,29.88,29.88
1913,29.88,29.88
1914,29.88,29.88
1915,29.88,29.88
1916,29.88,29.88
1917,29.88,29.88
1918,29.88,29.88
1919,29.88,29.88
1920,29.88,29.88
1921,29.88,29.88
1922,29.88,29.88
1923,29.88,29.88
1924,29.88,29.88
1925,29.88,29.88
1926,29.88,29.88
1927,29.88,29.88
1928,29.88,29.88
1929,29.88,29.88
1930,29.88,29.88
1931,29.88,29.88
1932,29.88,29.88
1933,29.88,29.88
1934,29.88,29.88
1935,29.88,29.88
1936,29.88,29.88
1937,29.88,29.88
1938,29.88,29.88
1939,29.88,29.88
1940,29.88,29.88
1941,29.88,29.88
1942,29.88,29.88
1943,29.88,29.88
1944,29.88,29.88
1945,29.88,29.88
1946,29.88,29.88
1947,29.88,29.88
1948,29.88,29.88
1949,29.88,29.88
1950,29.88,29.88
1951,29.88,29.88
1952,29.88,29.88
1953,29.88,29.88
1954,29.86,29.86
1955,29.51,29.51
1956,29.43,29.43
1957,29.90,29.90
1958,30.08,30.08
1959,30.23,30.23
1960,29.74,29.74
1961,30.19,30.19
1962,30.17,30.17
1963,30.32,30.32
1964,29.51,29.51
1965,29.33,29.33
1966,29.74,29.74
1967,29.66,29.66
1968,29.38,29.38
1969,29.74,29.74
1970,29.68,29.68
1971,29.13,29.13
1972,30.01,30.01
1973,29.96,29.96
1974,29.39,29.39
1975,29.41,29.41
1976,30.09,30.09
1977,30.06,30.06
1978,29.98,29.98
1979,29.94,29.94
1980,30.09,30.09
1981,30.13,30.13
1982,30.17,30.17
1983,30.50,30.50
1984,29.87,29.87
1985,29.85,29.85
1986,29.71,29.71
1987,30.33,30.33
1988,30.22,30.22
1989,29.70,29.70
1990,30.08,30.08
1991,30.62,30.62
1992,30.41,30.41
1993,30.22,30.22
1994,30.28,30.28
1995,30.48,30.48
1996,29.88,29.88
1997,30.54,30.54
1998,30.65,30.65
1999,30.48,30.48
2000,29.88,29.88
2001,30.18,30.18
2002,30.27,30.27
2003,29.88,29.88
2004,29.88,29.88
2005,29.88,29.88
2006,29.88,29.88
2007,29.88,29.88
2008,29.88,29.88
2009,29.88,29.88
2010,29.88,29.88
2011,29.88,29.88
2012,29.88,29.88
2013,29.88,29.88
2014,29.88,29.88
2015,29.88,29.88
2016,29.88,29.88
2017,29.88,29.88
2018,29.88,29.88
2019,29.88,29.88
2020,29.88,29.88
