Variable:,tasmin
,Poland,Dolnoslaskie,Kujawsko-Pomorskie,Lodzkie,Lubeiskie,Lubuskie,Malopolske,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Slaskie,Swietokrzyskie,Warminsko-Mazurskie,Wielkopolskie,Zachodnio-Pomorskie
1901,3.53,3.06,3.95,3.78,3.61,4.10,2.14,3.83,3.04,3.38,3.04,3.96,2.78,3.46,3.46,3.81,4.04
1902,2.24,2.46,2.67,2.44,1.91,3.44,0.93,2.19,2.35,2.01,1.18,2.56,1.91,2.01,1.74,2.81,3.00
1903,4.06,3.84,4.55,4.27,4.02,4.90,2.50,4.31,3.77,3.68,3.56,4.42,3.39,3.82,3.94,4.49,4.61
1904,3.43,3.83,3.89,3.71,2.99,4.79,2.15,3.28,3.64,3.08,2.19,3.79,3.18,3.21,2.82,4.08,4.33
1905,3.71,3.72,4.19,3.99,3.46,4.63,2.28,3.82,3.64,3.34,2.91,4.12,3.23,3.49,3.47,4.20,4.31
1906,4.04,3.89,4.54,4.26,3.80,4.94,2.50,4.18,3.76,3.61,3.38,4.58,3.37,3.76,3.93,4.50,4.77
1907,3.04,3.36,3.53,3.36,2.62,4.33,1.70,2.93,3.22,2.66,1.84,3.48,2.75,2.80,2.53,3.69,3.89
1908,3.06,2.98,3.54,3.22,2.88,4.01,1.56,3.12,2.91,2.77,2.26,3.66,2.50,2.78,2.84,3.51,3.86
1909,3.01,2.92,3.29,3.19,3.10,3.78,1.88,3.09,3.01,3.10,2.27,3.21,2.70,2.99,2.64,3.32,3.37
1910,4.35,4.03,4.71,4.55,4.33,4.98,3.03,4.60,4.10,4.16,3.79,4.84,3.79,4.26,4.23,4.63,4.86
1911,4.17,4.19,4.67,4.48,3.83,5.21,2.83,4.19,4.12,3.89,3.13,4.66,3.75,4.04,3.80,4.69,4.95
1912,3.07,3.17,3.52,3.29,2.79,4.17,1.66,3.07,3.05,2.71,2.17,3.57,2.60,2.81,2.72,3.58,3.85
1913,4.04,3.88,4.55,4.27,3.83,4.92,2.45,4.20,3.76,3.52,3.42,4.67,3.35,3.65,3.98,4.49,4.79
1914,4.13,3.95,4.74,4.31,3.83,5.13,2.35,4.24,3.77,3.43,3.44,4.93,3.31,3.61,4.09,4.67,5.13
1915,3.29,3.45,3.63,3.69,3.19,4.26,2.24,3.32,3.51,3.30,2.20,3.33,3.13,3.32,2.65,3.78,3.69
1916,4.21,4.33,4.47,4.57,4.24,5.10,3.10,4.27,4.42,4.18,3.39,4.18,4.03,4.23,3.58,4.63,4.55
1917,3.00,3.03,3.36,3.33,2.83,3.88,1.95,3.02,3.07,3.06,1.90,3.27,2.75,3.04,2.51,3.41,3.55
1918,4.03,4.22,4.32,4.41,3.97,5.02,2.92,4.11,4.20,3.95,3.05,4.06,3.81,4.02,3.43,4.50,4.43
1919,2.93,3.02,3.28,3.23,2.76,3.82,1.80,2.95,3.09,2.87,1.87,3.19,2.73,2.88,2.46,3.38,3.46
1920,4.07,4.05,4.49,4.33,3.87,4.92,2.76,4.13,4.08,3.77,3.25,4.48,3.67,3.91,3.80,4.53,4.67
1921,3.94,3.98,4.43,4.28,3.68,4.92,2.73,3.91,3.97,3.80,2.76,4.41,3.60,3.87,3.47,4.47,4.67
1922,2.74,2.79,3.12,2.98,2.57,3.59,1.45,2.80,2.86,2.46,1.94,3.11,2.46,2.56,2.47,3.13,3.23
1923,3.74,3.74,3.97,4.03,3.84,4.47,2.72,3.90,3.81,3.88,3.05,3.72,3.49,3.81,3.30,3.99,3.94
1924,2.99,2.93,3.33,3.21,2.93,3.84,1.66,3.13,2.83,2.79,2.38,3.35,2.48,2.84,2.80,3.28,3.48
1925,4.29,4.03,4.75,4.52,4.34,4.89,2.78,4.60,3.98,3.95,3.96,4.72,3.62,4.04,4.34,4.52,4.63
1926,4.39,4.52,4.81,4.67,4.19,5.34,3.13,4.47,4.48,4.13,3.52,4.63,4.06,4.26,3.99,4.85,4.86
1927,3.75,3.84,4.11,4.00,3.56,4.64,2.57,3.79,3.87,3.64,2.92,4.07,3.47,3.67,3.40,4.11,4.20
1928,3.62,3.71,4.03,3.95,3.43,4.45,2.44,3.72,3.74,3.42,2.87,3.83,3.38,3.55,3.29,3.97,3.99
1929,2.59,2.83,2.94,2.81,2.33,3.69,1.41,2.50,2.71,2.43,1.58,2.93,2.28,2.47,2.11,3.07,3.25
1930,4.50,4.35,4.89,4.75,4.38,5.28,3.22,4.64,4.32,4.32,3.81,5.04,3.99,4.40,4.35,4.77,5.01
1931,3.20,3.18,3.60,3.51,3.07,3.98,2.03,3.32,3.21,3.07,2.34,3.48,2.87,3.17,2.83,3.59,3.69
1932,4.01,3.82,4.47,4.27,3.91,4.72,2.55,4.23,3.77,3.61,3.44,4.54,3.38,3.75,3.90,4.34,4.58
1933,2.69,2.58,3.23,2.83,2.32,3.63,1.23,2.62,2.54,2.19,1.78,3.67,2.15,2.36,2.44,3.16,3.88
1934,5.19,4.83,5.54,5.52,5.18,5.64,3.94,5.49,5.01,5.01,4.67,5.71,4.73,5.18,5.10,5.31,5.56
1935,3.92,3.74,4.41,4.20,3.69,4.66,2.49,4.08,3.67,3.52,3.24,4.54,3.35,3.73,3.77,4.25,4.61
1936,4.56,4.16,4.82,4.85,4.71,4.99,3.40,4.92,4.31,4.49,4.22,4.84,4.05,4.60,4.47,4.67,4.78
1937,4.55,4.36,4.84,4.89,4.48,5.16,3.40,4.80,4.47,4.35,3.93,4.88,4.21,4.56,4.32,4.78,4.90
1938,4.63,4.25,5.04,4.90,4.59,5.17,3.27,4.93,4.35,4.28,4.21,5.18,4.07,4.46,4.63,4.82,5.15
1939,4.45,4.19,4.91,4.75,4.39,5.07,3.10,4.73,4.24,4.15,3.88,4.91,3.95,4.36,4.34,4.74,4.79
1940,1.59,1.63,2.12,1.83,1.30,2.55,0.24,1.59,1.54,1.25,0.69,2.08,1.15,1.39,1.29,2.10,2.28
1941,2.28,2.53,2.73,2.63,1.99,3.30,1.16,2.22,2.47,2.18,1.10,2.52,2.13,2.26,1.66,2.81,2.90
1942,2.24,2.62,2.62,2.71,1.85,3.27,1.31,2.18,2.60,2.20,0.95,2.23,2.26,2.38,1.45,2.86,2.68
1943,4.21,3.84,4.78,4.44,4.06,4.76,2.65,4.46,3.78,3.75,3.82,4.95,3.49,3.97,4.32,4.49,4.81
1944,4.16,3.97,4.64,4.43,4.02,4.90,2.68,4.38,3.83,3.72,3.61,4.69,3.53,3.93,4.08,4.55,4.73
1945,4.03,4.25,4.46,4.36,3.57,5.10,2.74,3.97,4.18,3.51,3.03,4.56,3.81,3.82,3.62,4.59,4.88
1946,3.84,3.92,4.13,4.17,3.71,4.64,2.74,3.93,3.87,3.70,2.99,4.07,3.59,3.85,3.39,4.19,4.31
1947,3.01,3.24,3.28,3.28,2.94,3.87,1.98,3.01,3.24,3.00,2.02,3.12,2.88,3.04,2.38,3.42,3.48
1948,4.23,4.27,4.64,4.48,4.04,5.09,2.83,4.39,4.15,3.84,3.59,4.57,3.74,3.96,4.01,4.65,4.84
1949,4.49,4.17,4.96,4.67,4.29,5.13,2.93,4.74,4.13,3.99,4.12,5.21,3.80,4.12,4.61,4.82,5.16
1950,4.11,4.16,4.52,4.33,3.89,4.98,2.85,4.17,4.14,3.78,3.28,4.55,3.79,3.96,3.82,4.53,4.72
1951,4.43,4.69,4.66,4.81,4.34,5.27,3.50,4.38,4.81,4.47,3.30,4.50,4.40,4.46,3.73,4.91,4.90
1952,3.41,3.67,3.76,3.65,3.16,4.42,2.23,3.33,3.63,3.16,2.50,3.66,3.16,3.21,2.96,3.91,4.02
