Variable:,tasmax
,"Kyrgyz Republic",Batken,Jalal-Abad,Naryn,Osh,Talas,Ysyk-Kol,Bishkek,Chuy
1901,6.96,11.10,10.11,4.64,7.20,7.87,4.33,9.45,7.69
1902,7.50,11.34,10.63,5.21,7.61,8.46,5.01,10.11,8.33
1903,5.89,9.83,9.02,3.62,6.04,6.85,3.37,8.42,6.68
1904,7.14,10.93,10.24,4.87,7.29,8.04,4.71,9.71,7.93
1905,6.34,10.28,9.50,4.04,6.55,7.30,3.75,8.88,7.12
1906,7.25,11.07,10.39,4.98,7.46,8.17,4.72,9.78,8.02
1907,6.32,10.06,9.42,4.04,6.45,7.22,3.93,8.86,7.09
1908,6.96,10.81,10.08,4.70,7.12,7.90,4.46,9.50,7.74
1909,7.99,11.85,11.21,5.69,8.19,9.02,5.39,10.57,8.82
1910,7.20,10.99,10.35,4.95,7.33,8.17,4.68,9.78,8.02
1911,7.15,10.96,10.30,4.86,7.36,8.08,4.61,9.68,7.92
1912,7.90,11.91,11.16,5.58,8.17,8.96,5.19,10.43,8.69
1913,7.06,10.83,10.20,4.79,7.22,8.02,4.54,9.64,7.87
1914,7.99,11.76,10.97,5.79,8.12,8.73,5.64,10.55,8.77
1915,8.84,12.51,11.84,6.65,8.94,9.58,6.47,11.46,9.67
1916,7.70,11.17,10.70,5.55,7.76,8.51,5.40,10.33,8.53
1917,8.48,12.13,11.61,6.29,8.60,9.42,5.97,11.15,9.34
1918,6.92,10.64,10.02,4.71,7.19,7.75,4.40,9.43,7.68
1919,7.44,11.06,10.50,5.27,7.60,8.27,4.97,10.04,8.27
1920,5.58,8.83,8.40,3.50,5.64,6.18,3.53,8.16,6.39
1921,6.85,10.22,9.77,4.69,6.93,7.59,4.70,9.44,7.68
1922,8.36,11.73,11.34,6.22,8.33,9.14,6.16,11.03,9.25
1923,7.28,10.44,10.11,5.17,7.19,7.94,5.30,9.98,8.18
1924,7.54,10.88,10.47,5.41,7.55,8.25,5.40,10.17,8.38
1925,8.40,11.91,11.43,6.24,8.42,9.25,6.07,11.11,9.29
1926,8.03,11.37,10.97,5.92,7.98,8.76,5.87,10.73,8.93
1927,7.88,11.20,10.83,5.76,7.85,8.63,5.72,10.57,8.78
1928,6.35,9.74,9.27,4.21,6.33,7.10,4.21,8.97,7.19
1929,6.20,9.84,9.15,4.04,6.24,6.95,3.94,8.78,7.00
1930,6.29,9.82,9.23,4.17,6.40,6.99,4.01,8.84,7.05
1931,6.04,9.54,8.98,3.91,6.07,6.78,3.81,8.62,6.84
1932,6.74,10.06,9.64,4.63,6.71,7.42,4.63,9.36,7.57
1933,7.17,10.52,10.05,5.10,7.15,7.81,5.02,9.79,8.01
1934,5.42,8.96,8.35,3.31,5.42,6.16,3.13,8.09,6.29
1935,6.07,9.69,9.10,3.88,6.08,6.95,3.72,8.72,6.95
1936,7.04,11.03,10.18,4.77,7.21,7.93,4.49,9.48,7.76
1937,6.13,9.96,9.31,3.88,6.29,7.09,3.58,8.58,6.92
1938,7.51,11.00,10.61,5.33,7.53,8.43,5.16,10.08,8.35
1939,7.75,11.28,10.88,5.57,7.77,8.74,5.34,10.37,8.65
1940,8.39,11.85,11.42,6.26,8.39,9.23,6.06,11.05,9.26
1941,8.87,12.39,11.92,6.74,8.86,9.76,6.51,11.52,9.72
1942,7.29,10.95,10.37,5.10,7.35,8.18,4.89,9.84,8.11
1943,6.94,10.26,9.88,4.88,6.96,7.65,4.74,9.54,7.74
1944,7.71,11.51,10.86,5.51,7.72,8.73,5.15,10.28,8.58
1945,6.71,10.23,9.67,4.56,6.69,7.48,4.50,9.31,7.54
1946,7.54,11.52,10.62,5.37,7.90,8.31,4.88,9.94,8.19
1947,8.00,11.99,11.13,5.79,8.28,8.90,5.33,10.49,8.73
1948,7.37,10.99,10.43,5.15,7.39,8.31,5.04,10.02,8.25
1949,5.97,9.52,8.85,3.84,6.05,6.64,3.75,8.54,6.75
1950,6.46,10.00,9.47,4.34,6.52,7.27,4.10,8.97,7.25
1951,6.69,10.26,9.55,4.58,6.82,7.25,4.51,9.13,7.43
1952,6.75,10.69,9.83,4.60,7.00,7.54,4.11,9.24,7.51
1953,6.88,10.45,9.84,4.70,6.89,7.64,4.62,9.48,7.75
1954,5.63,9.80,8.76,3.26,5.82,6.56,3.11,8.03,6.38
1955,7.61,11.78,10.87,5.21,7.73,8.70,4.95,10.10,8.46
1956,7.51,11.40,10.54,5.26,7.65,8.32,5.11,9.97,8.28
