"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1063711739.66529","1200546515.15212","1311101987.65844","1507765895.46233","1641719919.4229","1746181542.57671","1824147622.20799","1893129003.13691","2031449553.05025","2172115724.46926","2436136799.15933","2892531561.71732","3546208611.80142","4583264569.13309","5964254777.393","8093596870.18913","10461446892.268","9633680656.73135","9988481797.01453","10160338267.6272","11192555390.6362","11911914318.3941","12047457836.3324","11738591730.3917","11045765150.2086","11621188075.3432","12521420264.1586","13768767581.1114","12517905808.4427",
"American Samoa","ASM","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","107885010.374034","134644016.910459","150097123.788156","152571916.563597","166488706.050596","195964410.717051","223213604.120424","245131890.97681","300929073.17666","373136823.521066","399819783.374354","426253642.771239","458051851.811105","481299062.17433","523299391.315316","568173424.775256","558753571.219178","610539735.537895","650806651.331683","678919704.272684","717457990.843418","767360091.508278","760663010.71885","756667665.754285","835399284.413674","919598865.67275","1011832399.54972","1142183838.67231","1267919219.76039","1302620798.75233","1179903529.07501","1116801930.26816","1103969196.12055","1155839505.54123","1154411974.86136","1180894969.14941","1202388789.00944","1283569996.92309","1366899601.32465","1528529961.72512","1594604632.71806","1346226879.52033",
"Australia","AUS","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","20130016315.9292","21575936062.2446","23521876716.6587","25868330054.4307","27327552861.5007","29957970962.281","32790275052.3801","36510091547.7909","40940737857.2486","44924009712.2291","51217150059.772","62227993822.6848","81629354589.7759","100300590512.619","110392028975.629","114696051447.146","121604764519.399","139283182294.614","159102485694.526","177115275849.75","183344621122.066","178091766172.971","186987091108.939","189256282601.482","197102810570.822","204157147835.547","233501769880.928","262108751230.865","295762315140.834","314996314763.08","324301366684.24","333914097277.383","336800825828.515","348548332460.77","374960882748.422","406080525292.498","407542623071.15","405817483568.345","404723824058.715","391273949168.138","393562469232.491","421278006874.29","514681386031.885","619754312771.344","706835658722.721","777802512986.28","900082101289.292","955528161353.22","1028728032989.7","1125573695720.27","1369868613394.82","1527654488982.81","1530045767201.32","1440558868614.77","1308400113510.57","1266616319836.39","1325914770574.33","1392852404069.98","1379109792024.02",
"Austria","AUT","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","7542193505.44714","8160812049.70646","8952334691.99851","9711756127.16677","10733894518.9912","11490052086.3633","12488031184.1324","13757221942.2535","15443421414.5244","17375538464.5143","20827473371.481","27135197432.424","35357094636.4697","41973161483.8511","45227642591.1561","50391969952.5421","56986218163.4384","72612079132.5786","86525729929.8978","84581170381.2217","78645874205.1627","72607743507.954","70106042140.232","70825979699.3274","81882181234.0288","104616120040.533","137094988298.442","147034433604.21","158408233019.377","169120913207.493","192283092098.236","196613461224.482","207435406526.503","224071373875.956","239520714311.994","235529407795.138","223132048657.623","216445411767.95","214597274149.417","203403145827.667","201783306607.892","227595226508.83","275818117266.914","318541897236.187","342843451807.149","369206549709.121","408644600527.339","408848764791.255","414882680047.547","424545777489.332","422005294901.861","429923727984.966","430446238039.503","410097061082.222","403675052292.699","395824167231.359","432762863634.176","452529159368.858","431109386043.838",
"Azerbaijan","AZE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603254295.191161","1391472154.87016","1885575181.35692","3237674317.77456","4067990425.17453","4785149622.38024","5110639636.21027","5528126707.14043","6009420582.76588","6888983558.7298","8008547279.33806","10804721582.6185","16262719240.852","23439792585.6344","34126003550.917","43168930631.345","48999343053.7248","51060295469.8447","60210176857.9362","70151076001.0105","73759665997.5171","63780263997.3608","46724600677.3074","40495857044.0472","40589279818.7338","45201078781.7551","45198847825.1339",
"Burundi","BDI","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","206666179.554777","229705021.266601","249136186.896266","218415484.943328","186278497.787243","178801235.584619","176530724.12111","178807836.954774","235185344.33884","250901658.136643","245081171.320459","301256262.156112","348631154.078755","414529128.473886","461778313.282136","545551150.710919","581439793.958895","720310248.680174","896643348.126934","1074923410.54021","1034715176.42408","1019182029.11059","1009821428.96855","1131169775.87282","1201972390.95721","1294120780.36516","1302305820.07593","1210929034.44108","1187230148.15055","1225750918.70711","1192299103.38156","1044187086.06245","955734527.501482","916444361.721301","868857678.24986","906257045.78629","906190364.552933","866791081.751336","859340957.831752","843865403.329829","862872242.16839","827371837.094081","887399105.861116","995605101.469128","1175616040.7913","1332112571.50257","1516886419.58533","1667652235.95457","1895318490.82197","2104253313.41179","2314466640.08665","2477681834.22573","2603067066.60491","2651125146.99185","2729157548.15063","2807890532.4812","2789442245.51757","2781004993.07947","2782542943.94726",
"Belgium","BEL","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","13405546015.7945","14226174724.9565","15668565678.5184","17067196863.0391","18553179286.3821","20097046130.0383","21872541388.0785","24221708058.966","26939395914.1525","29788312229.064","35350537140.9616","45680738547.4617","58593476575.9163","67734022237.7547","74457868971.8877","80808471279.8838","94084075934.9798","115562722036.487","137826291586.867","130079947219.276","110218089875.51","92902068823.0598","87358379673.0435","86990552702.5463","100256153980.868","129247168084.123","168426362040.138","179183426893.317","192493996352.757","205932197393.285","232729156195.684","236050839568.009","253794929772.071","274407357627.372","289994918534.057","289648046571.827","270640520218.741","265688171278.684","265143731531.12","251267324604.202","247973665881.685","280431837746.661","341879526384.018","395328344465.377","420820967846.749","453733624706.521","497717127634.132","505660362113.359","511504386940.992","512154309724.699","523125290180.437","534270156775.138","535793201983.291","513436078693.143","491386576536.751","483060716504.898","525761787359.3","551600342955.354","528687220319.229",
"Benin","BEN","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","233081229.738465","249823244.169907","271737292.680725","292322660.0057","308228097.870337","314614257.869296","333126836.853865","344766354.418561","352437258.159731","347345806.653306","397398713.189866","487765466.008819","599423362.321774","668407887.062273","706757920.062892","787514355.299621","876798040.000618","1113346639.36234","1433291317.28564","1561860098.36277","1427033829.73308","1156983592.88756","1121503707.18936","1114750039.99097","1202357029.30217","1390353352.82555","1698144638.5809","1635602519.9722","1825173515.18725","1953417680.55159","1947363950.65055","2105178994.00122","1894285350.58314","2098301521.59313","2130455504.32992","2374740872.33465","2403760082.84555","2762941305.01499","3285462983.73886","3783167939.56175","3890714803.50519","4536166269.09028","5655950088.02888","6571349689.22837","7082441203.24593","7808105611.52825","8977721470.29501","9725278675.04709","9953915777.32779","10357314482.5216","10942496193.1572","12214954488.2158","13069577667.614","12462818879.0211","12104023692.2275","12203345013.6549","13728467799.943","14803390762.073","15498937116.1709",
"Burkina Faso","BFA","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","387079209.79677","387900729.330683","408452161.917131","428515742.391087","440441319.943699","474418549.295204","488390638.947186","495557666.787124","492796325.062156","503420879.415016","551659431.393865","657214216.927315","829367808.104918","962066171.596473","1040581383.30303","1100289171.51727","1307248139.648","1672887509.44137","2016182956.24795","2079799061.7729","2020633832.10222","1726428962.20172","1550335254.0803","1600017104.93656","1864882116.13122","2189871407.01215","2715942777.02336","2828813240.36693","2922762696.42452","3227199409.1085","3445118321.99765","3421404947.31585","2733946238.41348","2559493169.41878","2562019956.50198","2682136860.57605","2729578616.40289","3003739848.92816","3135673592.52601","3302319479.66328","3339651432.00184","4053974395.50022","5021639926.66863","6137861272.03951","6734051049.70465","7275158333.24268","8431018213.41935","9277585154.81283","10111307041.6281","10923947196.1676","12119235785.8839","13218407263.8723","13374189110.221","12719827979.9876","12626356407.4306","12947522906.0533","14844368751.5988","15694924225.0967","16152563794.5073",
