"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.976842832129","119.574899032419","124.168193654161","117.937171652193","119.070074507215","125.993070381129","124.975409930916","126.43242187051","126.74415949211","125.838926174497",
"Africa Eastern and Southern","AFE","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00423717549027","1.5337487541547","2.9797902979195","4.02882965480669","4.35453277339454","5.45509087958786","5.56750824753456","4.76310636846787","5.2473711383869","6.73553162595777","7.62730269263871","8.42588665520126","9.16225462940508","10.2482656530571","9.98767795255738","10.2651706872076","",
"Afghanistan","AFG","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0156009136519071","0.059807575107848","0.116381436375323","0.206287221950611","0.299597035020524","0.449156840736947","0.528944119764585","0.615836730381854","0.636843816601354","0.705169662375748","0.749717464012321","0.917247559370298","1.05993076775654","1.21323506390226","1.61193188855075","1.64042616901041","",
"Africa Western and Central","AFW","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.16917072182165","1.53735157477395","1.92432588458856","2.63079950477072","3.38517005017614","4.26312206668779","4.52161021390642","4.59799115924155","4.98462097821721","4.87716266515447","4.81122475325364","5.4059377410447","",
"Angola","AGO","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.854312999176342","1.45315760976499","3.04017815256886","4.40359647499321","6.23811376144426","8.34497646255357","10.4211368142463","12.7246319347486","15.1908465118075","16.993177392172","18.1921538343706","18.822463688274","19.0621163716339","19.1314389921108","18.922316416156","18.3956627442208","",
"Albania","ALB","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22749947497184","9.2617022737705","13.8733493408139","19.3656908833215","28.6294519466689","32.9408145583286","34.1316570011953","35.2851655027676","35.7375327901634","35.4274459268134","34.7500439195993","35.2552720716783","34.0807381206262","31.7140757427229","30.6381247603086","29.9884542330379","31.4225204948919",
"Andorra","AND","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.90290392913005","6.54435025668987","9.51995979939929","14.1100731940806","13.7800225856496","15.9979869792376","19.6573921980178","18.9221618643761","20.4338833980397","23.1351036360771","24.5047060281695","24.1202960576716","26.773729713378","27.3512615829779","28.6000266655091","28.5821478825239","",
"United Arab Emirates","ARE","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.292018531854","42.0638623380034","38.2055594740745","39.3168764395004","40.3635583380942","52.6476625037613","50.6118743968965","53.8617673631257","56.8608602597524","58.7773084806809","61.115985203047","64.382567530006","65.4201444383956","65.3668743562867","64.4780288958353","60.9142465174116","52.4852265125644",
"Argentina","ARG","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.87137790236104","2.09667103090097","2.87899871984013","4.95748782058852","9.9898247760286","13.8581711153506","19.2881464114501","27.049511845997","34.5269768716632","43.3374947804307","45.6680137940451","47.5139496858056","50.3457927994126","53.1152038316739","58.983342955789","60.745210700211","62.4518611173733",
"Armenia","ARM","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.04158271969759","4.95421620882875","7.69496475706141","14.4808135646665","23.1137087062639","30.2390435157928","34.0472320118203","43.5412640861815","50.3973638301997","53.9140528374902","59.4316330544431","60.5618393691304","61.1632028162409","63.7366859484728","64.1141659011669","65.5422081579567","65.5179219437296",
"American Samoa","ASM","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
